work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
NA,NA,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,DFO5,51.6773,-127.3122,2014-03-14T21:24:19Z,2014-03-14T21:29:38Z,1.955,6.4411,26.5271,6.9474
CALVERT,DFO5,51.6773,-127.3122,2014-04-04T21:26:07Z,2014-04-04T21:30:19Z,2.009,7.4043,24.8666,7.7613
CALVERT,DFO5,51.6773,-127.3122,2014-04-18T22:33:29Z,2014-04-18T22:37:42Z,1.97,8.0592,18.9737,8.1792
CALVERT,DFO5,51.6773,-127.3122,2014-04-25T20:05:06Z,2014-04-25T20:09:17Z,2.004,8.8735,16.5582,9.5207
CALVERT,DFO5,51.6773,-127.3122,2014-05-08T21:42:02Z,2014-05-08T21:45:37Z,1.965,8.8112,5.0659,13.5363
CALVERT,DFO5,51.6773,-127.3122,2014-05-13T22:20:52Z,2014-05-13T22:25:01Z,1.988,8.5186,18.9263,11.251
CALVERT,DFO5,51.6773,-127.3122,2014-05-28T20:56:20Z,2014-05-28T21:00:30Z,1.927,9.854,2.0121,9.2655
CALVERT,DFO5,51.6773,-127.3122,2014-06-04T19:38:31Z,2014-06-04T19:42:41Z,2.042,10.2824,0.69,9.9991
CALVERT,DFO5,51.6773,-127.3122,2014-06-20T21:57:28Z,2014-06-20T22:01:38Z,1.991,10.761,5.938,9.0597
CALVERT,DFO5,51.6773,-127.3122,2014-06-26T20:51:46Z,2014-06-26T20:54:35Z,1.951,11.1791,1.7365,10.2565
CALVERT,DFO5,51.6773,-127.3122,2014-07-09T22:12:57Z,2014-07-09T22:17:03Z,2.054,12.5153,1.4356,9.4777
CALVERT,DFO5,51.6773,-127.3122,2014-07-16T21:23:17Z,2014-07-16T21:26:52Z,2.008,12.7858,3.0139,8.2936
CALVERT,DFO5,51.6773,-127.3122,2014-07-30T20:41:31Z,2014-07-30T20:44:45Z,2.002,12.2352,1.5867,7.8554
CALVERT,DFO5,51.6773,-127.3122,2014-08-07T21:18:49Z,2014-08-07T21:21:05Z,1.879,13.4088,1.0088,7.052
CALVERT,DFO5,51.6773,-127.3122,2014-09-12T19:57:39Z,2014-09-12T19:59:35Z,1.942,10.5393,24.9401,6.5544
CALVERT,DFO5,51.6773,-127.3122,2014-09-17T20:20:25Z,2014-09-17T20:22:57Z,1.963,13.4224,17.8914,7.7881
CALVERT,DFO5,51.6773,-127.3122,2015-04-07T17:33:52Z,2015-04-07T17:39:42Z,1.999,9.0447,15.8644,7.6161
