work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
,,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,FZH10,51.902,-127.935,2014-06-25T20:45:37Z,2014-06-25T20:52:49Z,1.989,12.9269,23.3739,7.5906
CALVERT,FZH10,51.902,-127.935,2014-08-04T17:01:31Z,2014-08-04T17:06:45Z,2.069,,,
CALVERT,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,2014-05-15T18:07:17Z,2.003,,,
CALVERT,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,2014-06-23T19:53:57Z,2.008,11.3103,31.2671,7.2148
CALVERT,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,2014-07-17T19:13:20Z,1.998,12.9426,31.3701,7.2797
CALVERT,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,2014-08-27T20:47:09Z,2.056,14.9796,31.469,6.3931
CALVERT,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,2016-07-10T17:13:22Z,2.015,13.2317,31.3901,
CALVERT,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,2016-07-10T17:17:11Z,1.915,13.3427,31.3575,
CALVERT,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,2017-07-20T16:39:35Z,1.983,14.8273,30.7648,6.684
