work_area,station,latitude,longitude,time,bottom_date_time,depth,temperature,salinity,dissolved_oxygen_ml_l
,,degrees_north,degrees_east,UTC,UTC,m,degree_Celsius,PSU,mL L-1
CALVERT,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,2014-01-09T18:11:25Z,1.943,6.3041,28.3504,6.1655
CALVERT,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,2014-01-29T18:30:54Z,1.902,6.3948,28.1533,6.214
CALVERT,KC12,51.6504,-128.07,2014-02-19T23:00:12Z,2014-02-19T23:00:38Z,2.132,6.4835,31.1986,6.2362
CALVERT,KC12,51.6504,-128.07,2014-03-18T21:38:58Z,2014-03-18T21:39:22Z,2.018,6.7878,31.0302,6.8939
CALVERT,KC12,51.6504,-128.07,2014-03-31T18:58:30Z,2014-03-31T18:58:49Z,2.025,7.0827,30.1432,7.0134
CALVERT,KC12,51.6504,-128.07,2014-04-06T21:15:55Z,2014-04-06T21:16:12Z,2.032,7.4517,30.8787,7.6926
CALVERT,KC12,51.6504,-128.07,2014-04-20T19:50:18Z,2014-04-20T19:50:37Z,1.964,8.0616,30.7707,7.0784
CALVERT,KC12,51.6504,-128.07,2014-04-27T22:44:35Z,2014-04-27T22:44:54Z,1.982,9.0574,29.877,8.0293
CALVERT,KC12,51.6504,-128.07,2014-05-11T21:13:14Z,2014-05-11T21:13:34Z,1.938,10.5583,29.6553,9.4342
CALVERT,KC12,51.6504,-128.07,2014-05-18T20:12:06Z,2014-05-18T20:12:19Z,2.023,11.9776,28.0265,8.7084
CALVERT,KC12,51.6504,-128.07,2014-05-29T18:43:08Z,2014-05-29T18:43:30Z,2.016,11.6228,27.6429,8.0103
CALVERT,KC12,51.6504,-128.07,2014-06-08T16:56:56Z,2014-06-08T16:57:14Z,2.024,12.2139,28.3943,9.8676
CALVERT,KC12,51.6504,-128.07,2014-06-18T21:00:36Z,2014-06-18T21:00:52Z,2.01,11.1382,29.0112,9.3137
CALVERT,KC12,51.6504,-128.07,2014-06-28T18:12:54Z,2014-06-28T18:13:13Z,2.04,12.4476,28.2128,8.0057
CALVERT,KC12,51.6504,-128.07,2014-07-10T16:24:35Z,2014-07-10T16:24:52Z,1.976,15.3562,26.1404,6.9424
CALVERT,KC12,51.6504,-128.07,2014-07-19T17:00:53Z,2014-07-19T17:01:11Z,2.002,11.5769,29.0136,6.6617
CALVERT,KC12,51.6504,-128.07,2014-07-31T20:04:37Z,2014-07-31T20:04:53Z,2.038,15.194,26.062,7.3212
CALVERT,KC12,51.6504,-128.07,2014-08-08T17:51:49Z,2014-08-08T17:52:04Z,2.007,14.3794,27.3739,7.1351
CALVERT,KC12,51.6504,-128.07,2014-08-31T20:45:30Z,2014-08-31T20:46:00Z,1.988,12.3496,30.4639,6.9331
CALVERT,KC12,51.6504,-128.07,2014-09-10T19:47:12Z,2014-09-10T19:47:33Z,1.917,12.369,27.6076,8.0456
CALVERT,KC12,51.6504,-128.07,2014-09-21T20:01:25Z,2014-09-21T20:01:41Z,1.972,13.127,29.2015,8.9515
CALVERT,KC12,51.6504,-128.07,2014-10-15T17:27:08Z,2014-10-15T17:27:29Z,1.966,11.8824,29.1741,5.6348
CALVERT,KC12,51.6504,-128.07,2014-11-29T19:31:16Z,2014-11-29T19:31:39Z,1.955,7.1852,27.4395,7.7398
CALVERT,KC12,51.6504,-128.07,2015-02-24T22:29:10Z,2015-02-24T22:29:31Z,1.967,8.2884,28.6817,7.1995
CALVERT,KC12,51.6504,-128.07,2015-03-11T16:18:42Z,2015-03-11T16:19:00Z,2.026,8.9048,29.6371,9.8075
CALVERT,KC12,51.6504,-128.07,2015-04-01T18:39:18Z,2015-04-01T18:39:35Z,1.946,9.1927,27.3099,7.3547
CALVERT,KC12,51.6504,-128.07,2015-04-23T20:40:12Z,2015-04-23T20:40:31Z,2.003,9.5515,28.083,9.0295
CALVERT,KC12,51.6504,-128.07,2015-05-13T16:55:11Z,2015-05-13T16:55:30Z,2.056,10.5286,28.3405,8.0311
CALVERT,KC12,51.6504,-128.07,2015-06-03T21:13:24Z,2015-06-03T21:13:43Z,1.956,11.0605,29.1933,9.8136
CALVERT,KC12,51.6504,-128.07,2015-06-24T16:51:49Z,2015-06-24T16:52:22Z,1.902,13.9769,28.2426,11.703
CALVERT,KC12,51.6504,-128.07,2015-07-15T21:41:13Z,2015-07-15T21:41:33Z,1.974,14.8757,29.5753,8.3532
CALVERT,KC12,51.6504,-128.07,2015-08-05T20:24:19Z,2015-08-05T20:24:34Z,1.922,13.1137,29.8758,6.0436
CALVERT,KC12,51.6504,-128.07,2015-08-05T20:52:02Z,2015-08-05T20:52:20Z,1.934,12.9497,30.1767,5.5134
CALVERT,KC12,51.6504,-128.07,2015-08-26T18:52:26Z,2015-08-26T18:52:43Z,2.006,14.365,26.2982,8.5572
CALVERT,KC12,51.6504,-128.07,2015-09-16T21:02:00Z,2015-09-16T21:03:05Z,1.953,12.2346,29.1162,
CALVERT,KC12,51.6504,-128.07,2015-09-22T17:49:14Z,2015-09-22T17:49:28Z,2.025,12.1755,29.5244,5.9956
CALVERT,KC12,51.6504,-128.07,2015-10-08T18:11:27Z,2015-10-08T18:11:46Z,1.942,11.2818,26.784,6.0765
CALVERT,KC12,51.6504,-128.07,2015-10-28T21:10:33Z,2015-10-28T21:10:54Z,1.944,10.5386,28.136,5.9788
CALVERT,KC12,51.6504,-128.07,2015-12-01T17:37:29Z,2015-12-01T17:37:51Z,1.949,8.4038,29.9061,5.6681
CALVERT,KC12,51.6504,-128.07,2016-01-15T18:52:44Z,2016-01-15T18:53:03Z,1.96,,,
