work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,0.998,6.3989,28.5328,6.1462,
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,1.91,6.4009,28.5369,6.1492,
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,2.911,6.4171,28.5815,6.1574,
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,3.895,6.439,28.6709,6.1692,
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,4.857,6.4454,28.6999,6.1805,
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,5.86,6.4595,28.7256,6.1881,
CALVERT,018066_2014-01-08T22:23:00.000Z,HKP01,51.7182,-128.079,2014-01-08T22:23:00Z,6.9,6.4898,28.8274,6.1939,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,0.994,,,,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,1.996,,,,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,2.973,,,,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,3.924,,,,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,4.88,,,,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,5.945,,,,
CALVERT,018066_2014-01-30T21:36:40.333Z,HKP01,51.7182,-128.079,2014-01-30T21:36:40Z,6.999,,,,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,0.932,6.5515,31.6085,6.5531,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,2.073,6.5487,31.611,6.5527,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,2.981,6.5468,31.6109,6.5529,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,3.947,6.5455,31.6104,6.5509,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,4.923,6.545,31.6108,6.5486,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,5.916,6.5443,31.6114,6.5492,
CALVERT,018066_2014-02-20T22:19:19.834Z,HKP01,51.7182,-128.079,2014-02-20T22:19:20Z,6.899,6.5447,31.6109,6.5519,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,0.967,6.8158,31.5367,7.1731,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,2.038,6.776,31.5295,7.0622,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,3.015,6.752,31.5372,7.0629,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,3.97,6.7454,31.5383,7.0596,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,4.973,6.7415,31.5382,7.0507,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,5.889,6.7339,31.5393,7.0398,
CALVERT,018066_2014-03-12T21:54:03.500Z,HKP01,51.7182,-128.079,2014-03-12T21:54:04Z,6.868,6.7299,31.5437,7.03,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,0.954,7.2831,31.6519,7.0072,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,2.06,7.2215,31.662,6.9447,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,3.042,7.2074,31.6542,6.9229,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,3.978,7.2022,31.6567,6.9198,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,4.953,7.1939,31.6596,6.9155,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,5.971,7.1912,31.6616,6.9107,
CALVERT,018066_2014-03-19T21:26:00.833Z,HKP01,51.7182,-128.079,2014-03-19T21:26:00Z,6.975,7.1894,31.6637,6.9056,
CALVERT,018066_2014-03-26T21:26:22.667Z,HKP01,51.7182,-128.079,2014-03-26T21:26:22Z,0.953,7.0507,29.505,6.86,
CALVERT,018066_2014-03-26T21:26:22.667Z,HKP01,51.7182,-128.079,2014-03-26T21:26:22Z,1.983,6.9438,29.6498,6.6343,
CALVERT,018066_2014-03-26T21:26:22.667Z,HKP01,51.7182,-128.079,2014-03-26T21:26:22Z,2.976,6.6811,30.2841,6.4923,
CALVERT,018066_2014-03-26T21:26:22.667Z,HKP01,51.7182,-128.079,2014-03-26T21:26:22Z,3.917,6.6116,30.4656,6.4182,
CALVERT,018066_2014-03-26T21:26:22.667Z,HKP01,51.7182,-128.079,2014-03-26T21:26:22Z,4.953,6.5722,30.5254,6.3959,
CALVERT,018066_2014-03-26T21:26:22.667Z,HKP01,51.7182,-128.079,2014-03-26T21:26:22Z,6.033,6.5636,30.5457,6.4096,
CALVERT,018066_2014-04-01T21:48:20.666Z,HKP01,51.7182,-128.079,2014-04-01T21:48:20Z,1.017,,,,
CALVERT,018066_2014-04-01T21:48:20.666Z,HKP01,51.7182,-128.079,2014-04-01T21:48:20Z,2.008,,,,
CALVERT,018066_2014-04-01T21:48:20.666Z,HKP01,51.7182,-128.079,2014-04-01T21:48:20Z,2.966,,,,
CALVERT,018066_2014-04-01T21:48:20.666Z,HKP01,51.7182,-128.079,2014-04-01T21:48:20Z,3.946,,,,
CALVERT,018066_2014-04-01T21:48:20.666Z,HKP01,51.7182,-128.079,2014-04-01T21:48:20Z,5,,,,
CALVERT,018066_2014-04-01T21:48:20.666Z,HKP01,51.7182,-128.079,2014-04-01T21:48:20Z,6.027,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,1.013,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,1.989,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,2.977,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,4.009,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,4.919,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,5.923,,,,
CALVERT,018066_2014-04-03T16:24:07.833Z,HKP01,51.7182,-128.079,2014-04-03T16:24:08Z,6.942,,,,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,0.941,7.7471,31.3076,7.178,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,1.982,7.734,31.3021,7.003,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,2.996,7.718,31.3026,6.989,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,3.933,7.7091,31.2982,6.9934,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,4.939,7.7004,31.2937,6.9969,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,5.917,7.6919,31.2929,6.9985,
CALVERT,018066_2014-04-07T21:06:00.334Z,HKP01,51.7182,-128.079,2014-04-07T21:06:00Z,6.972,7.6965,31.291,6.9987,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,0.985,,,,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,2.043,,,,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,2.973,,,,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,3.961,,,,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,4.969,,,,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,5.923,,,,
CALVERT,018066_2014-04-21T21:58:13.333Z,HKP01,51.7182,-128.079,2014-04-21T21:58:13Z,6.944,,,,
CALVERT,018066_2014-04-22T17:20:08.000Z,HKP01,51.7182,-128.079,2014-04-22T17:20:14Z,3.915,,,,
CALVERT,018066_2014-04-22T17:20:08.000Z,HKP01,51.7182,-128.079,2014-04-22T17:20:14Z,5.006,,,,
CALVERT,018066_2014-04-22T17:20:08.000Z,HKP01,51.7182,-128.079,2014-04-22T17:20:14Z,5.917,,,,
CALVERT,018066_2014-04-22T17:20:08.000Z,HKP01,51.7182,-128.079,2014-04-22T17:20:14Z,6.893,,,,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,0.936,10.0899,28.3299,8.7048,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,1.994,10.0924,28.3329,8.3343,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,2.825,9.8844,28.4306,8.0548,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,3.969,9.1194,28.847,7.9952,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,5.006,8.9546,29.0459,7.9043,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,5.999,8.9512,29.4626,7.7815,
CALVERT,018066_2014-05-07T21:52:39.333Z,HKP01,51.7182,-128.079,2014-05-07T21:52:39Z,6.983,8.937,30.0543,7.6496,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,0.892,9.973,28.858,9.3661,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,2.016,9.9277,28.9501,9.1903,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,3.078,9.8501,29.1296,9.0178,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,3.86,9.8101,29.1888,8.9105,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,4.927,9.7324,29.3309,8.8583,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,5.98,9.6914,29.4763,8.7636,
CALVERT,018066_2014-05-09T17:40:52.833Z,HKP01,51.7182,-128.079,2014-05-09T17:40:53Z,6.947,9.6748,29.5234,8.6428,
CALVERT,018066_2014-05-12T21:19:45.000Z,HKP01,51.7182,-128.079,2014-05-12T21:19:44Z,1.038,,,,
CALVERT,018066_2014-05-12T21:19:45.000Z,HKP01,51.7182,-128.079,2014-05-12T21:19:44Z,1.972,,,,
CALVERT,018066_2014-05-12T21:19:45.000Z,HKP01,51.7182,-128.079,2014-05-12T21:19:44Z,2.934,,,,
