work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,0.966,,,,
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,2.003,,,,
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,2.965,,,,
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,3.974,,,,
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,4.973,,,,
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,5.978,,,,
CALVERT,018066_2014-05-15T18:06:59.000Z,KFPC01,51.900217,-128.4319,2014-05-15T18:06:59Z,6.919,,,,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,0.987,11.385,31.2624,7.4062,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,2.008,11.3103,31.2671,7.2148,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,2.929,11.1219,31.2649,7.1394,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,3.96,10.9918,31.291,7.1091,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,4.996,10.985,31.2784,7.0772,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,5.927,10.9764,31.2807,7.0362,
CALVERT,018066_2014-06-23T19:53:34.500Z,KFPC01,51.900217,-128.4319,2014-06-23T19:53:34Z,6.961,10.9497,31.2847,6.9868,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,0.927,12.9616,31.3678,7.2799,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,1.998,12.9426,31.3701,7.2797,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,2.974,12.8921,31.3701,7.2749,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,3.958,12.8671,31.3698,7.2683,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,4.925,12.8587,31.3711,7.2609,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,5.95,12.8417,31.3735,7.2568,
CALVERT,018066_2014-07-17T19:12:51.500Z,KFPC01,51.900217,-128.4319,2014-07-17T19:12:52Z,6.996,12.835,31.3714,7.252,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,1.011,15.3173,31.4424,6.4047,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,2.056,14.9796,31.469,6.3931,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,2.982,14.67,31.4995,6.4115,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,3.916,14.503,31.5191,6.4251,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,4.906,14.4393,31.5299,6.424,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,5.891,14.434,31.5323,6.396,
CALVERT,080217_2014-08-27T13:46:48.000Z,KFPC01,51.900217,-128.4319,2014-08-27T20:46:47Z,6.92,14.3867,31.5337,6.3412,
CALVERT,018032_2016-07-10T17:13:02.334Z,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,1.001,13.4182,31.321,,
CALVERT,018032_2016-07-10T17:13:02.334Z,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,2.015,13.2317,31.3901,,
CALVERT,018032_2016-07-10T17:13:02.334Z,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,2.901,13.1592,31.4171,,
CALVERT,018032_2016-07-10T17:13:02.334Z,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,3.949,13.0688,31.4491,,
CALVERT,018032_2016-07-10T17:13:02.334Z,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,4.876,13.0183,31.4519,,
CALVERT,018032_2016-07-10T17:13:02.334Z,KFPC01,51.900217,-128.4319,2016-07-10T17:13:03Z,5.719,12.9745,31.4619,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,0.954,13.4661,31.3149,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,1.915,13.3427,31.3575,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,2.896,13.188,31.4104,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,3.932,13.1526,31.4169,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,4.891,13.0598,31.4436,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,5.966,13.0386,31.4482,,
CALVERT,018032_2016-07-10T17:16:51.166Z,KFPC01,51.900217,-128.4319,2016-07-10T17:16:51Z,6.976,13.0262,31.4508,,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,0.991,14.8429,30.7658,6.682,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,1.983,14.8273,30.7648,6.684,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,2.974,14.7964,30.7659,6.5928,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,3.966,14.7706,30.7709,6.4433,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,4.957,14.672,30.7888,6.4158,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,5.948,14.3531,30.8251,6.5043,
CALVERT,01907467_2017-07-20T16:35:26Z,KFPC01,51.900217,-128.4319,2017-07-20T16:35:26Z,6.94,14.0021,30.8862,6.5772,
