work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,1.154,6.2962,28.3314,6.1843,
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,1.943,6.3041,28.3504,6.1655,
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,2.983,6.3393,28.416,6.1511,
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,4.004,6.3764,28.5004,6.1429,
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,4.927,6.4336,28.6497,6.1373,
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,5.963,6.4814,28.7524,6.1322,
CALVERT,018066_2014-01-09T18:10:56.500Z,KC12,51.6504,-128.07,2014-01-09T18:10:58Z,6.94,6.5279,28.8595,6.1269,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,0.897,6.3391,27.3814,6.2803,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,1.902,6.3948,28.1533,6.214,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,2.922,6.4115,28.1832,6.1793,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,3.939,6.4713,28.279,6.1487,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,4.944,6.5012,28.3517,6.1266,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,5.948,6.5798,28.6177,6.1228,
CALVERT,018066_2014-01-29T18:30:23.833Z,KC12,51.6504,-128.07,2014-01-29T18:30:24Z,6.92,6.631,28.8106,6.1326,
CALVERT,018066_2014-02-19T23:00:11.667Z,KC12,51.6504,-128.07,2014-02-19T23:00:12Z,0.899,6.4297,30.1745,6.5704,
CALVERT,018066_2014-02-19T23:00:11.667Z,KC12,51.6504,-128.07,2014-02-19T23:00:12Z,2.132,6.4835,31.1986,6.2362,
CALVERT,018066_2014-02-19T23:00:11.667Z,KC12,51.6504,-128.07,2014-02-19T23:00:12Z,2.916,6.4883,31.2285,6.1625,
