work_area,hakai_id,station,latitude,longitude,time,depth,temperature,salinity,dissolved_oxygen_ml_l,dissolved_oxygen_percent
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,0.956,10.8588,30.287,8.0791,
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,1.94,10.7032,30.3133,7.9339,
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,2.972,10.537,30.3448,7.9193,
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,3.978,10.46,30.3668,7.8762,
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,4.937,10.3665,30.3949,7.845,
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,5.944,10.211,30.445,7.8311,
CALVERT,018066_2014-05-15T16:36:27.499Z,KFPC06,51.811267,-128.233617,2014-05-15T16:36:27Z,6.937,10.1572,30.4654,7.8191,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,0.921,11.3247,30.8595,7.5447,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,2.015,11.2969,30.8587,7.4272,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,3.006,11.2706,30.8645,7.3945,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,3.973,11.223,30.8853,7.3688,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,4.96,11.2061,30.8922,7.3428,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,5.903,11.2043,30.8948,7.3144,
CALVERT,018066_2014-06-23T17:39:37.833Z,KFPC06,51.811267,-128.233617,2014-06-23T17:39:37Z,6.88,11.2023,30.8961,7.2876,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,0.99,13.15,31.1003,7.3102,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,1.917,13.0974,31.1118,7.3386,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,2.936,13.0033,31.1373,7.3589,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,3.966,13.0005,31.1367,7.3589,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,4.955,12.9975,31.1389,7.3406,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,5.926,12.943,31.1425,7.2949,
CALVERT,018066_2014-07-17T17:14:30.333Z,KFPC06,51.811267,-128.233617,2014-07-17T17:14:31Z,6.97,12.7878,31.1644,7.2128,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,0.968,13.8701,30.9458,7.292,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,2.01,13.6341,30.9769,7.0101,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,2.974,13.534,31.0037,6.9248,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,3.947,13.3698,31.0193,6.8657,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,4.928,13.3268,31.0405,6.7978,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,5.936,13.2689,31.0558,6.7229,
CALVERT,080217_2014-08-27T15:33:39.000Z,KFPC06,51.811267,-128.233617,2014-08-27T22:33:38Z,6.928,13.2029,31.0699,6.6379,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,1.017,12.1465,31.0448,6.9007,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,1.973,12.1431,31.0476,6.7481,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,2.934,12.143,31.0493,6.7399,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,3.942,12.1434,31.0495,6.7333,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,4.942,12.1464,31.0566,6.7261,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,5.992,12.1482,31.0635,6.717,
CALVERT,018066_2016-06-16T19:51:17.833Z,KFPC06,51.811267,-128.233617,2016-06-16T19:51:18Z,6.951,12.1513,31.0658,6.702,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,1.044,12.156,30.9169,6.9842,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,2.034,12.1564,31.0615,6.7357,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,3.028,12.1581,31.0732,6.714,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,3.94,12.1575,31.0751,6.7095,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,4.908,12.1528,31.0793,6.7044,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,5.969,12.1516,31.0803,6.6964,
CALVERT,018066_2016-06-16T20:01:30.833Z,KFPC06,51.811267,-128.233617,2016-06-16T20:01:31Z,6.948,12.148,31.0838,6.6831,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,0.972,14.1811,29.5942,6.7908,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,1.959,14.1294,29.6297,6.7582,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,2.972,14.1058,29.6468,6.6991,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,3.936,14.0242,29.8439,6.6485,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,4.955,13.9391,30.1661,6.6135,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,5.915,13.8512,30.471,6.5182,
CALVERT,018066_2016-07-10T18:04:41.167Z,KFPC06,51.811267,-128.233617,2016-07-10T18:04:43Z,6.857,13.84,30.5934,6.474,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,0.991,14.1777,29.662,6.806,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,1.992,14.1697,29.6993,6.5694,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,2.994,14.1353,29.7894,6.5172,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,4.038,14.0191,29.9179,6.4931,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,4.968,13.9064,30.1851,6.4728,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,5.862,13.841,30.4226,6.449,
CALVERT,018066_2016-07-10T18:14:18.667Z,KFPC06,51.811267,-128.233617,2016-07-10T18:14:19Z,6.938,13.8152,30.5538,6.4121,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,0.978,14.7897,30.7534,6.4782,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,1.988,14.6664,30.8035,6.4025,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,2.964,14.6138,30.8255,6.4016,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,3.969,14.6026,30.826,6.4175,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,5.086,14.5873,30.8254,6.4399,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,5.827,14.5862,30.8214,6.4514,
CALVERT,018066_2016-07-25T18:26:24.834Z,KFPC06,51.811267,-128.233617,2016-07-25T18:26:26Z,6.952,14.5868,30.8189,6.4261,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,0.976,14.6085,30.8197,6.5479,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,2.015,14.6159,30.8234,6.441,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,3.007,14.5917,30.8254,6.4426,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,4.027,14.5851,30.8253,6.4419,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,5.017,14.5807,30.8247,6.4272,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,5.964,14.5545,30.828,6.3985,
CALVERT,018066_2016-07-25T18:35:38.499Z,KFPC06,51.811267,-128.233617,2016-07-25T18:35:39Z,6.888,14.4617,30.8796,6.3677,
CALVERT,018066_2016-08-15T19:33:39.667Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,0.964,14.623,31.0082,7.3104,
CALVERT,018066_2016-08-15T19:25:15.000Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,0.964,14.623,31.0082,7.3104,
CALVERT,018066_2016-08-15T19:25:15.000Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,1.943,14.4891,31.0278,7.187,
CALVERT,018066_2016-08-15T19:33:39.667Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,1.943,14.4891,31.0278,7.187,
CALVERT,018066_2016-08-15T19:33:39.667Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,2.988,14.3906,31.04,7.1679,
CALVERT,018066_2016-08-15T19:25:15.000Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,2.988,14.3906,31.04,7.1679,
CALVERT,018066_2016-08-15T19:33:39.667Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,4.074,14.2609,31.0705,7.1032,
CALVERT,018066_2016-08-15T19:25:15.000Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,4.074,14.2609,31.0705,7.1032,
CALVERT,018066_2016-08-15T19:33:39.667Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,4.973,14.1697,31.0802,7.0438,
CALVERT,018066_2016-08-15T19:25:15.000Z,KFPC06,51.811267,-128.233617,2016-08-15T19:25:15Z,4.973,14.1697,31.0802,7.0438,
