Date,Year,Month,WaterYear,TWtrMcmullin_southQ_level,TWtrMcmullin_southQ_flags,TWtrMcmullin_southUNESCO_Q_level,TWtrMcmullin_south,TWtrMcmullin_southMed,TWtrMcmullin_southAvg,TWtrMcmullin_southMin,TWtrMcmullin_southMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Mcmullin_south,NS_Mcmullin_south,NS_Mcmullin_south,NS_Mcmullin_south,NS_Mcmullin_south,NS_Mcmullin_south,NS_Mcmullin_south,NS_Mcmullin_south
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-15,2015,Sep,2014-2015,1,"MV:15 of 24 missing:1 of 24 flagged",3,17.177,17.439,17.352712962963,15.939,18.271
2015-09-16,2015,Sep,2014-2015,1,,2,12.34,12.576,13.9591267361111,12.074,18.152
2015-09-17,2015,Sep,2014-2015,1,,2,12.654,12.651125,12.6664548611111,12.292,13.088
2015-09-18,2015,Sep,2014-2015,1,,2,12.896,12.778,12.8042743055556,12.666,12.92
2015-09-19,2015,Sep,2014-2015,1,,2,13.016,12.947,12.970375,12.823,13.185
2015-09-20,2015,Sep,2014-2015,1,,2,13.281,13.185,13.1490954861111,13.016,13.305
2015-09-21,2015,Sep,2014-2015,1,,2,12.992,13.112,13.1179322916667,12.944,13.305
2015-09-22,2015,Sep,2014-2015,1,,2,12.703,12.853,12.8502864583333,12.703,13.04
2015-09-23,2015,Sep,2014-2015,1,,2,12.823,12.663,12.6964930555556,12.485,12.847
2015-09-24,2015,Sep,2014-2015,1,,2,12.823,12.835,12.8556041666667,12.775,13.088
2015-09-25,2015,Sep,2014-2015,1,,2,12.703,12.73,12.7428263888889,12.678,12.823
2015-09-26,2015,Sep,2014-2015,1,,2,12.509,12.612,12.6642048611111,12.437,13.064
2015-09-27,2015,Sep,2014-2015,1,,2,12.437,12.534,12.5697291666667,12.437,12.775
2015-09-28,2015,Sep,2014-2015,1,,2,12.122,12.449,12.4805260416667,12.122,12.654
2015-09-29,2015,Sep,2014-2015,1,,2,12.05,12.3765,12.3401319444444,12.05,12.534
2015-09-30,2015,Sep,2014-2015,1,,2,12.05,12.192,12.1598958333333,11.977,12.34
2015-10-01,2015,Oct,2015-2016,1,,2,11.977,12.046875,12.0625086805556,11.71,12.34
2015-10-02,2015,Oct,2015-2016,1,,2,11.856,11.868,11.8298211805556,11.516,12.05
2015-10-03,2015,Oct,2015-2016,1,,2,11.516,11.504,11.5002430555556,11.37,11.953
2015-10-04,2015,Oct,2015-2016,1,,2,11.37,11.452,11.4359548611111,11.297,11.734
2015-10-05,2015,Oct,2015-2016,1,,2,11.88,11.63125,11.7153923611111,11.346,12.05
2015-10-06,2015,Oct,2015-2016,1,,2,11.904,11.974,11.9643194444444,11.856,12.074
2015-10-07,2015,Oct,2015-2016,1,,2,11.71,11.832,11.8312673611111,11.686,11.929
2015-10-08,2015,Oct,2015-2016,1,,2,11.929,11.901,11.8693836805556,11.71,11.953
2015-10-09,2015,Oct,2015-2016,1,,2,12.05,12.001,11.9970746527778,11.856,12.147
2015-10-10,2015,Oct,2015-2016,1,,2,11.953,12.01,12.0364670138889,11.953,12.147
2015-10-11,2015,Oct,2015-2016,1,,2,11.783,11.832,11.83359375,11.734,11.953
2015-10-12,2015,Oct,2015-2016,1,,2,11.832,11.8135,11.8355677083333,11.686,12.025
2015-10-13,2015,Oct,2015-2016,1,,2,11.662,11.832,11.8488020833333,11.662,11.953
2015-10-14,2015,Oct,2015-2016,1,,2,11.637,11.668,11.6889461805556,11.565,11.832
2015-10-15,2015,Oct,2015-2016,1,,2,11.492,11.565,11.5924600694444,11.492,11.807
2015-10-16,2015,Oct,2015-2016,1,,2,11.516,11.470125,11.4662013888889,11.394,11.613
2015-10-17,2015,Oct,2015-2016,1,,2,11.589,11.589,11.5862413194444,11.516,11.734
2015-10-18,2015,Oct,2015-2016,1,,2,11.54,11.54,11.5504392361111,11.443,11.637
2015-10-19,2015,Oct,2015-2016,1,,2,11.637,11.613,11.6291649305556,11.54,11.759
2015-10-20,2015,Oct,2015-2016,1,,2,11.516,11.54325,11.5533350694444,11.492,11.637
2015-10-21,2015,Oct,2015-2016,1,,2,11.613,11.677,11.6725954861111,11.516,11.807
2015-10-22,2015,Oct,2015-2016,1,,2,11.589,11.613,11.6176319444444,11.565,11.686
2015-10-23,2015,Oct,2015-2016,1,,2,11.467,11.565,11.5520729166667,11.467,11.637
2015-10-24,2015,Oct,2015-2016,1,,2,11.394,11.585875,11.5787239583333,11.37,11.832
2015-10-25,2015,Oct,2015-2016,1,,2,11.248,11.38225,11.3756909722222,11.248,11.492
2015-10-26,2015,Oct,2015-2016,1,,2,11.224,11.248,11.2962986111111,11.102,11.516
2015-10-27,2015,Oct,2015-2016,1,,2,11.686,11.385125,11.3517048611111,11.029,11.759
2015-10-28,2015,Oct,2015-2016,1,,2,11.589,11.461,11.4791267361111,11.394,11.686
2015-10-29,2015,Oct,2015-2016,1,,2,11.904,11.565,11.5631059027778,11.467,11.904
2015-10-30,2015,Oct,2015-2016,1,,2,11.613,11.759,11.7594774305556,11.613,11.904
2015-10-31,2015,Oct,2015-2016,1,,2,11.686,11.728,11.7180399305556,11.613,11.783
2015-11-01,2015,Nov,2015-2016,1,,2,11.662,11.565,11.5550416666667,11.394,11.686
2015-11-02,2015,Nov,2015-2016,1,,2,11.37,11.433875,11.3912847222222,11.127,11.662
2015-11-03,2015,Nov,2015-2016,1,,2,11.248,11.37,11.3439340277778,11.127,11.516
2015-11-04,2015,Nov,2015-2016,1,,2,11.565,11.565,11.543859375,11.175,11.759
2015-11-05,2015,Nov,2015-2016,1,,2,11.2,11.46425,11.4344670138889,11.2,11.565
2015-11-06,2015,Nov,2015-2016,1,,2,11.2,11.297,11.2690138888889,11.102,11.394
2015-11-07,2015,Nov,2015-2016,1,,2,11.078,11.139,11.1331979166667,11.029,11.2
2015-11-08,2015,Nov,2015-2016,1,,2,10.687,10.968,10.953046875,10.687,11.078
2015-11-09,2015,Nov,2015-2016,1,,2,10.736,10.761,10.7845052083333,10.59,10.932
2015-11-10,2015,Nov,2015-2016,1,,2,10.712,10.687,10.6641319444444,10.443,10.883
2015-11-11,2015,Nov,2015-2016,1,,2,10.785,10.43675,10.4421371527778,10.075,10.785
2015-11-12,2015,Nov,2015-2016,1,,2,10.761,10.761,10.7420763888889,10.565,10.834
