Date,Year,Month,WaterYear,TWtrChoked_inner_sgrassQ_level,TWtrChoked_inner_sgrassQ_flags,TWtrChoked_inner_sgrassUNESCO_Q_level,TWtrChoked_inner_sgrass,TWtrChoked_inner_sgrassMed,TWtrChoked_inner_sgrassAvg,TWtrChoked_inner_sgrassMin,TWtrChoked_inner_sgrassMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass,NS_Choked_inner_sgrass
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-10-14,2016,Oct,2016-2017,1,"MV:22 of 24 missing:1 of 24 flagged",3,11.139,11.139,11.139,11.139,11.139
2016-10-15,2016,Oct,2016-2017,1,,2,11.041,10.944,10.9533854166667,10.748,11.139
2016-10-16,2016,Oct,2016-2017,1,,2,10.846,10.748,10.7478663194444,10.553,11.041
2016-10-17,2016,Oct,2016-2017,1,,2,10.651,10.651,10.668046875,10.553,10.846
2016-10-18,2016,Oct,2016-2017,1,,2,10.553,10.553,10.5531701388889,10.455,10.651
2016-10-19,2016,Oct,2016-2017,1,,2,10.651,10.553,10.5861215277778,10.455,10.748
2016-10-20,2016,Oct,2016-2017,1,,2,10.651,10.651,10.6297083333333,10.553,10.748
2016-10-21,2016,Oct,2016-2017,1,,2,10.651,10.651,10.6535416666667,10.553,10.748
2016-10-22,2016,Oct,2016-2017,1,,2,10.651,10.651,10.6623819444444,10.553,10.748
2016-10-23,2016,Oct,2016-2017,1,,2,10.651,10.748,10.7462083333333,10.553,10.846
2016-10-24,2016,Oct,2016-2017,1,,2,10.553,10.76025,10.7573715277778,10.553,10.944
2016-10-25,2016,Oct,2016-2017,1,,2,10.748,10.9195,10.8422378472222,10.455,11.041
2016-10-26,2016,Oct,2016-2017,1,,2,10.651,10.72375,10.7146128472222,10.651,10.846
2016-10-27,2016,Oct,2016-2017,1,,2,10.553,10.6875,10.7139479166667,10.553,10.846
2016-10-28,2016,Oct,2016-2017,1,,2,10.651,10.553,10.5780104166667,10.455,10.651
2016-10-29,2016,Oct,2016-2017,1,,2,10.455,10.51625,10.5206388888889,10.455,10.846
2016-10-30,2016,Oct,2016-2017,1,,2,10.455,10.455,10.4821875,10.357,10.846
2016-10-31,2016,Oct,2016-2017,1,,2,10.651,10.49175,10.5578333333333,10.357,10.846
2016-11-01,2016,Nov,2016-2017,1,,2,10.357,10.357,10.3942604166667,10.259,10.651
2016-11-02,2016,Nov,2016-2017,1,,2,10.748,10.553,10.5317378472222,10.259,10.748
2016-11-03,2016,Nov,2016-2017,1,,2,10.748,10.651,10.6562152777778,10.553,10.748
2016-11-04,2016,Nov,2016-2017,1,,2,10.651,10.651,10.6585086805556,10.553,10.748
2016-11-05,2016,Nov,2016-2017,1,,2,10.651,10.651,10.656375,10.553,10.748
2016-11-06,2016,Nov,2016-2017,1,,2,10.651,10.651,10.6698263888889,10.553,10.748
2016-11-07,2016,Nov,2016-2017,1,,2,10.944,10.748,10.7986024305556,10.651,10.944
2016-11-08,2016,Nov,2016-2017,1,,2,10.846,10.944,10.9818923611111,10.846,11.139
2016-11-09,2016,Nov,2016-2017,1,,2,10.944,11.1875,11.1141284722222,10.846,11.334
2016-11-10,2016,Nov,2016-2017,1,,2,10.944,11.236,11.20725,10.846,11.334
2016-11-11,2016,Nov,2016-2017,1,,2,11.334,11.24825,11.2613645833333,10.9925,11.431
2016-11-12,2016,Nov,2016-2017,1,,2,11.236,11.334,11.3006909722222,11.139,11.431
2016-11-13,2016,Nov,2016-2017,1,,2,10.944,11.041,11.0816180555556,10.944,11.334
2016-11-14,2016,Nov,2016-2017,1,,2,11.139,11.139,11.1045434027778,10.944,11.334
2016-11-15,2016,Nov,2016-2017,1,,2,11.139,11.041,11.0703125,10.944,11.236
2016-11-16,2016,Nov,2016-2017,1,,2,10.748,10.944,10.9390260416667,10.748,11.139
2016-11-17,2016,Nov,2016-2017,1,,2,10.748,10.748,10.7949722222222,10.651,10.944
2016-11-18,2016,Nov,2016-2017,1,,2,10.944,10.748,10.7222013888889,10.455,11.041
2016-11-19,2016,Nov,2016-2017,1,,2,10.748,10.748,10.7479513888889,10.161,11.041
2016-11-20,2016,Nov,2016-2017,1,,2,10.259,10.3815,10.414328125,10.161,10.748
2016-11-21,2016,Nov,2016-2017,1,,2,10.063,10.357,10.2932986111111,9.866,10.846
2016-11-22,2016,Nov,2016-2017,1,,2,10.553,10.308,10.1989131944444,9.571,10.944
2016-11-23,2016,Nov,2016-2017,1,,2,10.846,10.83375,10.8033385416667,10.455,11.139
2016-11-24,2016,Nov,2016-2017,1,,2,11.041,10.944,10.927765625,10.748,11.041
2016-11-25,2016,Nov,2016-2017,1,,2,11.041,10.85825,10.8934513888889,10.651,11.041
2016-11-26,2016,Nov,2016-2017,1,,2,11.041,10.944,10.9225625,10.553,11.139
2016-11-27,2016,Nov,2016-2017,1,,2,10.748,10.83375,10.8308559027778,10.553,11.041
2016-11-28,2016,Nov,2016-2017,1,,2,10.651,10.46725,10.5150572916667,10.357,10.6995
2016-11-29,2016,Nov,2016-2017,1,,2,10.455,10.455,10.5179027777778,10.357,10.748
2016-11-30,2016,Nov,2016-2017,1,,2,10.651,10.357,10.3974930555556,10.259,10.651
2016-12-01,2016,Dec,2016-2017,1,,2,10.651,10.553,10.5602708333333,10.259,10.846
2016-12-02,2016,Dec,2016-2017,1,,2,10.651,10.6265,10.6168333333333,10.455,10.748
2016-12-03,2016,Dec,2016-2017,1,,2,10.553,10.553,10.5747395833333,10.455,10.846
2016-12-04,2016,Dec,2016-2017,1,,2,10.553,10.357,10.3978333333333,10.161,10.651
2016-12-05,2016,Dec,2016-2017,1,,2,10.259,10.455,10.4010451388889,9.965,10.748
2016-12-06,2016,Dec,2016-2017,1,,2,9.373,9.768,9.84315625,9.176,10.553
2016-12-07,2016,Dec,2016-2017,1,,2,9.176,9.9155,9.90080034722222,8.879,10.553
2016-12-08,2016,Dec,2016-2017,1,,2,9.077,9.324,9.51956770833333,8.879,10.455
2016-12-09,2016,Dec,2016-2017,1,,2,8.978,9.05225,9.01034548611111,8.68,9.373
2016-12-10,2016,Dec,2016-2017,1,,2,8.978,9.00275,9.13906944444444,8.68,9.768
2016-12-11,2016,Dec,2016-2017,1,,2,8.879,8.8665,8.89109548611111,8.68,9.275
2016-12-12,2016,Dec,2016-2017,1,,2,9.275,9.176,9.23599305555555,8.779,9.669
2016-12-13,2016,Dec,2016-2017,1,,2,9.373,9.163625,9.16939236111111,8.779,9.571
2016-12-14,2016,Dec,2016-2017,1,,2,9.077,8.978,9.00309722222222,8.779,9.373
2016-12-15,2016,Dec,2016-2017,1,,2,9.077,8.779,8.82334722222222,8.481,9.176
2016-12-16,2016,Dec,2016-2017,1,,2,9.275,8.68,8.72244097222222,8.481,9.275
2016-12-17,2016,Dec,2016-2017,1,,2,8.779,8.68,8.77115972222222,8.581,9.373
2016-12-18,2016,Dec,2016-2017,1,,2,8.68,8.6305,8.65540798611111,8.481,8.879
2016-12-19,2016,Dec,2016-2017,1,,2,8.68,8.68,8.68558333333333,8.581,8.879
2016-12-20,2016,Dec,2016-2017,1,,2,8.68,8.779,8.76829861111111,8.581,8.879
2016-12-21,2016,Dec,2016-2017,1,,2,8.779,8.779,8.80662673611111,8.68,8.879
2016-12-22,2016,Dec,2016-2017,1,,2,8.879,8.879,8.85799305555556,8.779,8.879
2016-12-23,2016,Dec,2016-2017,1,,2,8.879,8.879,8.93800694444444,8.779,9.176
2016-12-24,2016,Dec,2016-2017,1,,2,8.879,8.879,9.00088194444445,8.779,9.373
2016-12-25,2016,Dec,2016-2017,1,,2,8.779,8.879,8.91956944444444,8.779,9.077
2016-12-26,2016,Dec,2016-2017,1,,2,8.581,8.766625,8.73272569444444,8.481,8.978
2016-12-27,2016,Dec,2016-2017,1,,2,8.68,8.581,8.61310590277778,8.481,8.68
2016-12-28,2016,Dec,2016-2017,1,,2,8.779,8.68,8.64131423611111,8.481,8.779
2016-12-29,2016,Dec,2016-2017,1,,2,8.481,8.667625,8.62802430555556,8.481,8.879
2016-12-30,2016,Dec,2016-2017,1,,2,8.779,8.6305,8.65123958333333,8.481,8.879
2016-12-31,2016,Dec,2016-2017,1,,2,8.481,8.6305,8.62748958333333,8.382,8.879
2017-01-01,2017,Jan,2016-2017,1,,2,8.879,8.282,8.27212152777778,7.782,8.879
2017-01-02,2017,Jan,2016-2017,1,,2,8.481,7.995375,8.15205902777778,7.782,8.879
2017-01-03,2017,Jan,2016-2017,1,,2,7.782,7.894625,7.99856770833333,7.782,8.481
2017-01-04,2017,Jan,2016-2017,1,,2,7.782,7.832,7.82575,7.682,7.882
2017-01-05,2017,Jan,2016-2017,1,,2,7.682,7.782,7.7648125,7.682,7.882
2017-01-06,2017,Jan,2016-2017,1,,2,7.682,7.682,7.71394444444444,7.582,7.782
2017-01-07,2017,Jan,2016-2017,1,,2,7.782,7.6945,7.72557638888889,7.582,7.882
2017-01-08,2017,Jan,2016-2017,1,,2,7.682,7.782,7.88011111111111,7.682,8.282
2017-01-09,2017,Jan,2016-2017,1,,2,7.582,7.707,7.81565277777778,7.582,8.382
2017-01-10,2017,Jan,2016-2017,1,,2,7.682,7.582,7.73304166666667,7.381,8.182
2017-01-11,2017,Jan,2016-2017,1,,2,7.682,7.682,7.67282638888889,7.381,7.983
2017-01-12,2017,Jan,2016-2017,1,,2,7.582,7.582,7.59256944444444,7.481,7.782
2017-01-13,2017,Jan,2016-2017,1,,2,7.782,7.582,7.59886111111111,7.481,7.782
2017-01-14,2017,Jan,2016-2017,1,,2,7.582,7.682,7.65804166666666,7.582,7.882
2017-01-15,2017,Jan,2016-2017,1,,2,7.983,7.682,7.70631076388889,7.582,7.983
2017-01-16,2017,Jan,2016-2017,1,,2,8.082,7.983,7.95247395833334,7.882,8.082
2017-01-17,2017,Jan,2016-2017,1,,2,8.182,8.1445,8.15406944444444,7.983,8.282
2017-01-18,2017,Jan,2016-2017,1,,2,8.182,8.282,8.29241666666667,8.182,8.382
2017-01-19,2017,Jan,2016-2017,1,,2,8.182,8.257,8.23825,8.182,8.382
2017-01-20,2017,Jan,2016-2017,1,,2,7.983,8.207,8.20186631944444,7.983,8.382
2017-01-21,2017,Jan,2016-2017,1,,2,7.983,8.1695,8.14052777777778,7.882,8.282
2017-01-22,2017,Jan,2016-2017,1,,2,7.882,7.983,8.02691840277778,7.882,8.182
2017-01-23,2017,Jan,2016-2017,1,,2,7.983,7.7945,7.83751215277778,7.682,8.082
2017-01-24,2017,Jan,2016-2017,1,,2,7.682,7.782,7.78675173611111,7.582,8.382
2017-01-25,2017,Jan,2016-2017,1,,2,7.882,7.782,7.80743055555556,7.682,8.082
2017-01-26,2017,Jan,2016-2017,1,,2,8.082,7.983,8.00161111111111,7.782,8.282
2017-01-27,2017,Jan,2016-2017,1,,2,8.182,8.1195,8.126375,7.983,8.382
2017-01-28,2017,Jan,2016-2017,1,,2,8.182,8.182,8.20075,8.182,8.282
2017-01-29,2017,Jan,2016-2017,1,,2,8.082,8.182,8.15439583333333,8.082,8.182
2017-01-30,2017,Jan,2016-2017,1,,2,8.082,8.082,8.07461111111111,7.983,8.182
2017-01-31,2017,Jan,2016-2017,1,,2,7.983,7.95775,7.95319270833333,7.782,8.182
2017-02-01,2017,Feb,2016-2017,1,,2,7.782,7.782,7.84710590277778,7.481,8.082
2017-02-02,2017,Feb,2016-2017,1,,2,7.682,7.493625,7.50579861111111,7.28,7.782
2017-02-03,2017,Feb,2016-2017,1,,2,7.179,7.28,7.359671875,7.179,7.983
2017-02-04,2017,Feb,2016-2017,1,,2,7.079,7.191625,7.39211111111111,7.079,8.182
2017-02-05,2017,Feb,2016-2017,1,,2,6.978,7.0915,7.28692534722222,6.877,8.082
2017-02-06,2017,Feb,2016-2017,1,,2,7.079,7.079,7.26047048611111,6.775,7.983
2017-02-07,2017,Feb,2016-2017,1,,2,7.28,7.1415,7.19083159722222,6.877,7.983
2017-02-08,2017,Feb,2016-2017,1,,2,7.179,7.179,7.18715451388889,6.978,7.381
2017-02-09,2017,Feb,2016-2017,1,,2,7.481,7.179,7.21301041666667,6.978,7.481
2017-02-10,2017,Feb,2016-2017,1,,2,7.28,7.28,7.25997395833333,7.179,7.481
2017-02-11,2017,Feb,2016-2017,1,,2,7.28,7.179,7.21757638888889,7.179,7.381
2017-02-12,2017,Feb,2016-2017,1,,2,7.381,7.28,7.29595659722222,7.179,7.381
2017-02-13,2017,Feb,2016-2017,1,,2,7.381,7.381,7.38158333333333,7.28,7.481
2017-02-14,2017,Feb,2016-2017,1,,2,7.481,7.481,7.45652083333333,7.381,7.481
