Date,Year,Month,WaterYear,TWtrChoked_sandspit_sgrassQ_level,TWtrChoked_sandspit_sgrassQ_flags,TWtrChoked_sandspit_sgrassUNESCO_Q_level,TWtrChoked_sandspit_sgrass,TWtrChoked_sandspit_sgrassMed,TWtrChoked_sandspit_sgrassAvg,TWtrChoked_sandspit_sgrassMin,TWtrChoked_sandspit_sgrassMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass,NS_Choked_sandspit_sgrass
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-14,2015,Sep,2014-2015,1,"AR:MV:24 of 24 missing:2 of 24 flagged",9,,,,,
2015-09-15,2015,Sep,2014-2015,1,"AR:MV:8 of 24 missing:9 of 24 flagged",4,12.098,11.880125,12.2696840277778,11.589,18.485
2015-09-16,2015,Sep,2014-2015,1,,2,12.34,11.89825,11.91478125,11.613,12.34
2015-09-17,2015,Sep,2014-2015,1,,2,12.871,12.276625,12.3310364583333,11.734,12.968
2015-09-18,2015,Sep,2014-2015,1,,2,12.63,12.334,12.3528975694444,11.565,12.871
2015-09-19,2015,Sep,2014-2015,1,,2,12.63,12.621,12.5933402777778,12.34,12.775
2015-09-20,2015,Sep,2014-2015,1,,2,11.856,12.3975,12.3846354166667,11.807,12.871
2015-09-21,2015,Sep,2014-2015,1,,2,12.171,12.101375,12.148640625,11.832,12.678
2015-09-22,2015,Sep,2014-2015,1,,2,11.929,12.164875,12.1506840277778,11.832,12.34
2015-09-23,2015,Sep,2014-2015,1,,2,11.686,11.88,11.873796875,11.686,12.074
2015-09-24,2015,Sep,2014-2015,1,,2,11.662,11.722,11.7607708333333,11.637,11.929
2015-09-25,2015,Sep,2014-2015,1,,2,11.686,11.734125,11.7190416666667,11.589,11.807
2015-09-26,2015,Sep,2014-2015,1,,2,11.71,11.662,11.7163680555556,11.54,12.074
2015-09-27,2015,Sep,2014-2015,1,,2,11.71,11.71,11.6873958333333,11.394,11.807
2015-09-28,2015,Sep,2014-2015,1,,2,11.637,11.589,11.5887309027778,11.273,11.904
2015-09-29,2015,Sep,2014-2015,1,,2,11.54,11.467125,11.4627447916667,11.175,11.686
2015-09-30,2015,Sep,2014-2015,1,,2,11.662,11.503875,11.4345868055556,10.907,11.686
2015-10-01,2015,Oct,2015-2016,1,,2,11.565,11.470125,11.4833697916667,11.005,11.904
2015-10-02,2015,Oct,2015-2016,1,,2,11.151,11.3335,11.32809375,10.834,11.565
2015-10-03,2015,Oct,2015-2016,1,,2,11.102,11.05625,11.028140625,10.712,11.224
2015-10-04,2015,Oct,2015-2016,1,,2,11.346,11.25425,11.2636666666667,10.932,11.783
2015-10-05,2015,Oct,2015-2016,1,,2,11.078,11.345875,11.3379236111111,10.932,11.71
2015-10-06,2015,Oct,2015-2016,1,,2,11.175,11.248,11.2529982638889,11.053,11.492
2015-10-07,2015,Oct,2015-2016,1,,2,11.443,11.44,11.4835,11.1995,11.783
2015-10-08,2015,Oct,2015-2016,1,,2,11.759,11.755875,11.722125,11.37,11.929
2015-10-09,2015,Oct,2015-2016,1,,2,11.589,11.6375,11.6069618055556,11.419,11.783
2015-10-10,2015,Oct,2015-2016,1,,2,11.613,11.613,11.6243194444444,11.516,11.734
2015-10-11,2015,Oct,2015-2016,1,,2,11.151,11.364,11.2752256944444,10.98,11.613
2015-10-12,2015,Oct,2015-2016,1,,2,11.248,11.105125,11.1223315972222,11.005,11.273
2015-10-13,2015,Oct,2015-2016,1,,2,11.297,11.212,11.2091649305556,11.078,11.419
2015-10-14,2015,Oct,2015-2016,1,,2,11.297,11.248,11.2509791666667,11.078,11.467
2015-10-15,2015,Oct,2015-2016,1,,2,11.565,11.327375,11.3301319444444,11.127,11.637
2015-10-16,2015,Oct,2015-2016,1,,2,11.662,11.561875,11.5457829861111,11.37,11.904
2015-10-17,2015,Oct,2015-2016,1,,2,11.54,11.625,11.6281770833333,11.443,11.807
2015-10-18,2015,Oct,2015-2016,1,,2,11.662,11.7465,11.7755104166667,11.54,12.171
2015-10-19,2015,Oct,2015-2016,1,,2,11.88,11.7285,11.8796284722222,11.589,12.413
2015-10-20,2015,Oct,2015-2016,1,,2,12.025,12.119125,12.1798802083333,11.832,12.558
2015-10-21,2015,Oct,2015-2016,1,,2,12.534,12.449,12.3330329861111,11.977,12.606
2015-10-22,2015,Oct,2015-2016,1,,2,12.823,12.772,12.7475677083333,12.485,12.968
2015-10-23,2015,Oct,2015-2016,1,,2,12.847,12.871,12.8719305555556,12.727,12.992
2015-10-24,2015,Oct,2015-2016,1,,2,12.678,12.775,12.7596267361111,12.509,12.896
2015-10-25,2015,Oct,2015-2016,1,,2,12.268,12.442875,12.3614895833333,11.783,12.775
2015-10-26,2015,Oct,2015-2016,1,,2,11.977,11.989,12.0476788194444,11.637,12.678
2015-10-27,2015,Oct,2015-2016,1,,2,11.589,11.74075,11.7548680555556,11.492,12.074
2015-10-28,2015,Oct,2015-2016,1,,2,11.71,11.6405,11.6373524305556,11.37,11.904
2015-10-29,2015,Oct,2015-2016,1,,2,11.88,11.7525,11.7742048611111,11.613,12.098
2015-10-30,2015,Oct,2015-2016,1,,2,11.953,11.901,11.9026996527778,11.759,12.098
2015-10-31,2015,Oct,2015-2016,1,,2,11.71,11.795,11.8258802083333,11.686,12.001
2015-11-01,2015,Nov,2015-2016,1,,2,11.467,11.64325,11.6374913194444,11.467,11.71
2015-11-02,2015,Nov,2015-2016,1,,2,11.443,11.516,11.5077847222222,11.297,11.589
2015-11-03,2015,Nov,2015-2016,1,,2,11.443,11.443,11.4408263888889,11.224,11.54
2015-11-04,2015,Nov,2015-2016,1,,2,11.127,11.3,11.2689652777778,11.053,11.443
2015-11-05,2015,Nov,2015-2016,1,,2,11.127,11.099,11.0770972222222,10.834,11.321
2015-11-06,2015,Nov,2015-2016,1,,2,11.175,11.16,11.1450347222222,11.005,11.248
2015-11-07,2015,Nov,2015-2016,1,,2,11.346,11.127,11.1590434027778,10.858,11.467
2015-11-08,2015,Nov,2015-2016,1,,2,10.956,10.968125,10.9935104166667,10.687,11.3335
2015-11-09,2015,Nov,2015-2016,1,,2,11.005,10.974125,10.9655190972222,10.541,11.175
2015-11-10,2015,Nov,2015-2016,1,,2,10.541,10.718,10.7488055555556,10.418,11.127
2015-11-11,2015,Nov,2015-2016,1,,2,11.151,10.791125,10.7863645833333,10.443,11.151
2015-11-12,2015,Nov,2015-2016,1,,2,10.81,10.968,10.9747586805556,10.81,11.151
2015-11-13,2015,Nov,2015-2016,1,,2,10.638,10.748375,10.7317708333333,10.565,10.81
2015-11-14,2015,Nov,2015-2016,1,,2,10.516,10.605,10.5965590277778,10.467,10.638
2015-11-15,2015,Nov,2015-2016,1,,2,10.394,10.443,10.4543923611111,10.222,10.614
2015-11-16,2015,Nov,2015-2016,1,,2,10.271,10.32,10.3150121527778,10.1,10.516
2015-11-17,2015,Nov,2015-2016,1,,2,10.026,10.209875,10.1742864583333,9.977,10.296
2015-11-18,2015,Nov,2015-2016,1,,2,10.198,10.1855,10.1749097222222,9.854,10.394
2015-11-19,2015,Nov,2015-2016,1,,2,10.198,10.3205,10.3165277777778,9.977,10.59
2015-11-20,2015,Nov,2015-2016,1,,2,9.952,10.112,10.0801354166667,9.583,10.247
2015-11-21,2015,Nov,2015-2016,1,,2,9.534,9.58925,9.60946875,9.336,10.051
2015-11-22,2015,Nov,2015-2016,1,,2,9.706,9.485,9.52064583333333,9.336,9.805
2015-11-23,2015,Nov,2015-2016,1,,2,9.608,9.567375,9.64707291666667,9.163,10.222
2015-11-24,2015,Nov,2015-2016,1,,2,9.731,9.57675,9.492703125,8.817,9.903
2015-11-25,2015,Nov,2015-2016,1,,2,9.583,9.638375,9.65968055555556,9.262,10.198
2015-11-26,2015,Nov,2015-2016,1,,2,9.485,9.509,9.49398958333333,9.336,9.657
2015-11-27,2015,Nov,2015-2016,1,,2,9.46,9.46,9.45691840277778,9.262,9.632
2015-11-28,2015,Nov,2015-2016,1,,2,9.435,9.44125,9.430515625,9.213,9.558
2015-11-29,2015,Nov,2015-2016,1,,2,9.064,9.256,9.25792881944444,9.064,9.485
2015-11-30,2015,Nov,2015-2016,1,,2,8.99,9.04,9.06610763888889,8.941,9.238
2015-12-01,2015,Dec,2015-2016,1,,2,9.04,9.073375,9.07719791666667,8.965,9.139
2015-12-02,2015,Dec,2015-2016,1,,2,9.04,9.0025,9.00145138888889,8.916,9.064
2015-12-03,2015,Dec,2015-2016,1,,2,9.089,9.142,9.12699131944444,9.015,9.188
2015-12-04,2015,Dec,2015-2016,1,,2,9.213,9.262,9.26135416666667,9.04,9.386
2015-12-05,2015,Dec,2015-2016,1,,2,9.262,9.2745,9.284421875,9.188,9.361
2015-12-06,2015,Dec,2015-2016,1,,2,9.312,9.287,9.28947569444444,9.188,9.41
2015-12-07,2015,Dec,2015-2016,1,,2,9.485,9.41,9.40609548611111,9.188,9.608
2015-12-08,2015,Dec,2015-2016,1,,2,9.632,9.623,9.59754340277778,9.41,9.731
2015-12-09,2015,Dec,2015-2016,1,,2,9.485,9.46,9.42968576388889,9.139,9.657
2015-12-10,2015,Dec,2015-2016,1,,2,9.657,9.315,9.31749305555556,9.114,9.657
2015-12-11,2015,Dec,2015-2016,1,,2,9.485,9.40425,9.38854166666667,8.916,9.731
2015-12-12,2015,Dec,2015-2016,1,,2,9.756,9.389,9.42106423611111,9.163,9.756
2015-12-13,2015,Dec,2015-2016,1,,2,8.841,9.14475,9.04849131944444,8.27,9.78
2015-12-14,2015,Dec,2015-2016,1,,2,9.608,9.287,9.27211284722222,8.593,9.903
2015-12-15,2015,Dec,2015-2016,1,,2,9.064,9.29325,9.36054166666667,9.015,9.829
2015-12-16,2015,Dec,2015-2016,1,,2,9.139,9.178625,9.18017534722222,8.99,9.361
2015-12-17,2015,Dec,2015-2016,1,,2,9.163,9.213,9.21063194444444,9.04,9.336
2015-12-18,2015,Dec,2015-2016,1,,2,9.089,9.139,9.16772569444444,9.015,9.435
2015-12-19,2015,Dec,2015-2016,1,,2,9.262,9.25,9.23722048611111,9.015,9.46
2015-12-20,2015,Dec,2015-2016,1,,2,9.262,9.262,9.26782638888889,9.089,9.386
