Date,Year,Month,WaterYear,TWtrGooseSE_sgrassQ_level,TWtrGooseSE_sgrassQ_flags,TWtrGooseSE_sgrassUNESCO_Q_level,TWtrGooseSE_sgrass,TWtrGooseSE_sgrassMed,TWtrGooseSE_sgrassAvg,TWtrGooseSE_sgrassMin,TWtrGooseSE_sgrassMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass,NS_Goose_SE_sgrass
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-15,2015,Sep,2014-2015,1,"MV:15 of 24 missing:1 of 24 flagged",3,17.13,17.439,17.2408240740741,15.724,18.2
2015-09-16,2015,Sep,2014-2015,1,,2,13.353,14.24325,14.8003975694444,13.112,18.961
2015-09-17,2015,Sep,2014-2015,1,,2,13.329,13.356,13.3559166666667,13.161,13.522
2015-09-18,2015,Sep,2014-2015,1,,2,13.185,13.314,13.2775208333333,13.112,13.425
2015-09-19,2015,Sep,2014-2015,1,,2,13.185,13.149,13.1478819444444,13.064,13.233
2015-09-20,2015,Sep,2014-2015,1,,2,13.185,13.158,13.1553958333333,13.016,13.329
2015-09-21,2015,Sep,2014-2015,1,,2,13.233,13.212,13.2615763888889,13.112,13.57
2015-09-22,2015,Sep,2014-2015,1,,2,12.775,12.877375,12.9215451388889,12.775,13.257
2015-09-23,2015,Sep,2014-2015,1,,2,12.871,12.727,12.7702569444444,12.63,12.944
2015-09-24,2015,Sep,2014-2015,1,,2,13.04,12.892875,12.9789704861111,12.775,13.281
2015-09-25,2015,Sep,2014-2015,1,,2,12.703,12.871,12.9030711805556,12.703,13.064
2015-09-26,2015,Sep,2014-2015,1,,2,12.775,12.727,12.7689791666667,12.654,12.944
2015-09-27,2015,Sep,2014-2015,1,,2,12.654,12.693625,12.7269184027778,12.558,12.944
