Date,Year,Month,WaterYear,TWtrGooseSW_sgrassQ_level,TWtrGooseSW_sgrassQ_flags,TWtrGooseSW_sgrassUNESCO_Q_level,TWtrGooseSW_sgrass,TWtrGooseSW_sgrassMed,TWtrGooseSW_sgrassAvg,TWtrGooseSW_sgrassMin,TWtrGooseSW_sgrassMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass,NS_Goose_SW_sgrass
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-15,2015,Sep,2014-2015,1,"MV:15 of 24 missing:1 of 24 flagged",3,17.486,17.504,17.3127638888889,15.843,18.39
2015-09-16,2015,Sep,2014-2015,1,,2,13.401,14.62025,14.9713072916667,12.968,19.603
2015-09-17,2015,Sep,2014-2015,1,,2,13.858,13.449,13.5156510416667,13.305,13.906
2015-09-18,2015,Sep,2014-2015,1,,2,13.305,13.443,13.458328125,13.233,13.858
2015-09-19,2015,Sep,2014-2015,1,,2,13.137,13.161,13.173125,13.137,13.329
2015-09-20,2015,Sep,2014-2015,1,,2,13.088,12.92,12.8999878472222,12.654,13.137
2015-09-21,2015,Sep,2014-2015,1,,2,12.992,13.23,13.2303402777778,12.992,13.425
2015-09-22,2015,Sep,2014-2015,1,,2,12.751,12.947,12.942328125,12.751,13.088
2015-09-23,2015,Sep,2014-2015,1,,2,12.823,12.751,12.75925,12.678,12.847
2015-09-24,2015,Sep,2014-2015,1,,2,12.92,12.829,12.8381788194444,12.751,12.92
2015-09-25,2015,Sep,2014-2015,1,,2,12.727,12.847,12.8516059027778,12.678,12.968
2015-09-26,2015,Sep,2014-2015,1,,2,12.558,12.642,12.5742378472222,11.929,12.751
2015-09-27,2015,Sep,2014-2015,1,,2,12.509,12.67225,12.6756267361111,12.509,12.871
2015-09-28,2015,Sep,2014-2015,1,,2,12.678,12.534,12.6248454861111,12.389,13.137
2015-09-29,2015,Sep,2014-2015,1,,2,12.437,12.534,12.539890625,12.364,13.088
2015-09-30,2015,Sep,2014-2015,1,,2,12.413,12.446,12.4728263888889,12.316,13.016
2015-10-01,2015,Oct,2015-2016,1,,2,12.34,12.385875,12.4259322916667,12.316,13.088
2015-10-02,2015,Oct,2015-2016,1,,2,12.292,12.219,12.1502083333333,11.492,12.775
2015-10-03,2015,Oct,2015-2016,1,,2,12.389,12.243,12.1674565972222,11.613,12.63
2015-10-04,2015,Oct,2015-2016,1,,2,12.389,12.292,12.2932291666667,12.074,12.534
2015-10-05,2015,Oct,2015-2016,1,,2,12.437,12.364,12.3624722222222,12.195,12.534
2015-10-06,2015,Oct,2015-2016,1,,2,12.05,12.2435,12.266796875,11.88,12.509
2015-10-07,2015,Oct,2015-2016,1,,2,11.856,11.807,11.8818784722222,11.734,12.268
2015-10-08,2015,Oct,2015-2016,1,,2,12.171,12.122,12.131515625,11.856,12.413
2015-10-09,2015,Oct,2015-2016,1,,2,12.461,12.346,12.3666354166667,12.171,12.678
2015-10-10,2015,Oct,2015-2016,1,,2,12.098,12.413,12.4096302083333,12.05,12.485
2015-10-11,2015,Oct,2015-2016,1,,2,11.856,12.071,12.0565243055556,11.856,12.243
2015-10-12,2015,Oct,2015-2016,1,,2,12.025,11.8805,11.8821024305556,11.637,12.025
2015-10-13,2015,Oct,2015-2016,1,,2,12.219,12.004,12.1129479166667,11.977,12.34
2015-10-14,2015,Oct,2015-2016,1,,2,11.929,11.974,12.0097534722222,11.88,12.243
2015-10-15,2015,Oct,2015-2016,1,,2,11.953,11.941,11.9765069444444,11.856,12.292
