Date,Year,Month,WaterYear,TWtrPruth_bay01_Q_level,TWtrPruth_bay01_Q_flags,TWtrPruth_bay01_UNESCO_Q_level,TWtrPruth_bay01,TWtrPruth_bay01_Med,TWtrPruth_bay01_Avg,TWtrPruth_bay01_Min,TWtrPruth_bay01_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-16,2015,Sep,2014-2015,1,"AR:MV:20 of 24 missing:7 of 24 flagged",4,,17.429125,16.5095520833333,12.34,19.6985
2015-09-17,2015,Sep,2014-2015,1,"AR:MV:10 of 24 missing:13 of 24 flagged",4,12.025,12.36125,14.0014360119048,11.904,19.0915
2015-09-18,2015,Sep,2014-2015,1,,2,11.953,12.095,12.1224236111111,11.953,12.509
2015-09-19,2015,Sep,2014-2015,1,,2,11.953,11.919375,11.8999652777778,11.759,12.05
2015-09-20,2015,Sep,2014-2015,1,,2,11.904,11.88,11.8785364583333,11.71,12.001
2015-09-21,2015,Sep,2014-2015,1,,2,11.856,11.856,11.8900416666667,11.637,12.534
2015-09-22,2015,Sep,2014-2015,1,,2,11.977,11.974,11.9991927083333,11.565,12.389
2015-09-23,2015,Sep,2014-2015,1,,2,12.171,12.107125,12.0988993055556,11.88,12.316
2015-09-24,2015,Sep,2014-2015,1,,2,12.074,12.165,12.152078125,11.832,12.34
2015-09-25,2015,Sep,2014-2015,1,,2,11.856,12.201,12.1911145833333,11.832,12.509
2015-09-26,2015,Sep,2014-2015,1,,2,11.977,12.149875,12.1295260416667,11.734,12.534
2015-09-27,2015,Sep,2014-2015,1,,2,11.662,11.971,12.000421875,11.637,12.437
2015-09-28,2015,Sep,2014-2015,1,,2,11.71,11.877125,11.9389236111111,11.589,12.871
2015-09-29,2015,Sep,2014-2015,1,,2,11.613,11.746375,11.885640625,11.443,12.703
2015-09-30,2015,Sep,2014-2015,1,,2,11.419,11.634375,11.7402118055556,11.394,12.582
2015-10-01,2015,Oct,2015-2016,1,,2,11.394,11.570875,11.6102447916667,11.346,12.292
2015-10-02,2015,Oct,2015-2016,1,,2,11.662,11.516,11.5354444444444,11.297,11.759
2015-10-03,2015,Oct,2015-2016,1,,2,12.316,11.577125,11.5932743055556,11.297,12.437
2015-10-04,2015,Oct,2015-2016,1,,2,11.637,11.613,11.6230607638889,11.394,12.292
2015-10-05,2015,Oct,2015-2016,1,,2,11.565,11.589,11.5980902777778,11.443,11.904
2015-10-06,2015,Oct,2015-2016,1,,2,11.613,11.613,11.6380902777778,11.443,11.88
