Date,Year,Month,WaterYear,TWtrPruth_pocketQ_level,TWtrPruth_pocketQ_flags,TWtrPruth_pocketUNESCO_Q_level,TWtrPruth_pocket,TWtrPruth_pocketMed,TWtrPruth_pocketAvg,TWtrPruth_pocketMin,TWtrPruth_pocketMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Pruth_pocket,NS_Pruth_pocket,NS_Pruth_pocket,NS_Pruth_pocket,NS_Pruth_pocket,NS_Pruth_pocket,NS_Pruth_pocket,NS_Pruth_pocket
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-14,2015,Sep,2014-2015,1,"AR:MV:24 of 24 missing:2 of 24 flagged",9,,,,,
2015-09-15,2015,Sep,2014-2015,1,"AR:MV:9 of 24 missing:12 of 24 flagged",4,11.783,12.908,13.8872597222222,11.734,18.949
2015-09-16,2015,Sep,2014-2015,1,,2,12.292,11.952875,12.133671875,11.613,12.775
2015-09-17,2015,Sep,2014-2015,1,,2,11.953,11.949875,12.0252899305556,11.686,12.461
2015-09-18,2015,Sep,2014-2015,1,,2,11.977,11.962,12.0554444444444,11.734,12.678
2015-09-19,2015,Sep,2014-2015,1,,2,12.074,11.956,11.9662135416667,11.759,12.268
2015-09-20,2015,Sep,2014-2015,1,,2,12.437,12.15575,12.1361545138889,11.686,12.558
2015-09-21,2015,Sep,2014-2015,1,,2,12.195,12.001,12.0870381944444,11.856,12.534
2015-09-22,2015,Sep,2014-2015,1,,2,11.953,12.095,12.1375451388889,11.953,12.582
2015-09-23,2015,Sep,2014-2015,1,,2,12.147,12.147,12.12846875,11.856,12.268
2015-09-24,2015,Sep,2014-2015,1,,2,12.025,12.147,12.1297743055556,11.832,12.364
2015-09-25,2015,Sep,2014-2015,1,,2,11.977,12.107,12.0945416666667,11.88,12.485
2015-09-26,2015,Sep,2014-2015,1,,2,12.001,11.953,12.0067152777778,11.783,12.485
2015-09-27,2015,Sep,2014-2015,1,,2,11.686,11.886125,11.9192135416667,11.637,12.292
2015-09-28,2015,Sep,2014-2015,1,,2,11.565,11.85,11.9182378472222,11.565,12.799
2015-09-29,2015,Sep,2014-2015,1,,2,11.589,11.7285,11.8728263888889,11.467,12.703
2015-09-30,2015,Sep,2014-2015,1,,2,11.443,11.634125,11.7646979166667,11.346,12.558
2015-10-01,2015,Oct,2015-2016,1,,2,11.419,11.501,11.5817361111111,11.419,12.219
2015-10-02,2015,Oct,2015-2016,1,,2,11.613,11.494875,11.5393645833333,11.346,11.783
2015-10-03,2015,Oct,2015-2016,1,,2,11.71,11.56775,11.5435538194444,11.273,11.807
2015-10-04,2015,Oct,2015-2016,1,,2,11.516,11.577,11.5950381944444,11.394,11.832
2015-10-05,2015,Oct,2015-2016,1,,2,11.419,11.452125,11.4752517361111,11.297,11.807
2015-10-06,2015,Oct,2015-2016,1,,2,11.394,11.467,11.4766059027778,11.321,11.637
2015-10-07,2015,Oct,2015-2016,1,,2,11.346,11.47325,11.4683125,11.297,11.565
2015-10-08,2015,Oct,2015-2016,1,,2,11.394,11.55525,11.5749583333333,11.346,11.856
2015-10-09,2015,Oct,2015-2016,1,,2,11.419,11.671,11.7491857638889,11.321,12.364
2015-10-10,2015,Oct,2015-2016,1,,2,11.346,11.327375,11.3411753472222,11.005,11.613
2015-10-11,2015,Oct,2015-2016,1,,2,11.321,11.37,11.3711892361111,11.273,11.467
2015-10-12,2015,Oct,2015-2016,1,,2,11.053,11.12075,11.1605486111111,10.638,11.565
2015-10-13,2015,Oct,2015-2016,1,,2,11.224,11.142,11.1522517361111,10.883,11.54
2015-10-14,2015,Oct,2015-2016,1,,2,11.321,11.248,11.2420746527778,10.98,11.492
2015-10-15,2015,Oct,2015-2016,1,,2,11.248,11.169,11.1712725694444,10.834,11.37
2015-10-16,2015,Oct,2015-2016,1,,2,11.175,11.127,11.1407447916667,10.956,11.346
2015-10-17,2015,Oct,2015-2016,1,,2,11.2,11.175,11.1671232638889,11.078,11.248
2015-10-18,2015,Oct,2015-2016,1,,2,11.151,11.16,11.1594600694444,11.029,11.224
2015-10-19,2015,Oct,2015-2016,1,,2,11.273,11.273,11.23503125,11.102,11.321
2015-10-20,2015,Oct,2015-2016,1,,2,11.248,11.23,11.216453125,11.102,11.297
2015-10-21,2015,Oct,2015-2016,1,,2,11.346,11.248,11.2685520833333,11.175,11.443
2015-10-22,2015,Oct,2015-2016,1,,2,11.467,11.391,11.4516857638889,11.297,11.662
2015-10-23,2015,Oct,2015-2016,1,,2,11.88,11.66775,11.6785954861111,11.37,11.929
2015-10-24,2015,Oct,2015-2016,1,,2,11.88,11.758875,11.7527916666667,11.54,11.953
2015-10-25,2015,Oct,2015-2016,1,,2,11.078,11.068625,11.1802118055556,10.932,11.868
2015-10-26,2015,Oct,2015-2016,1,,2,11.175,10.833875,10.8844704861111,10.492,11.37
2015-10-27,2015,Oct,2015-2016,1,,2,11.224,11.172125,11.0925329861111,10.736,11.467
2015-10-28,2015,Oct,2015-2016,1,,2,10.834,10.87375,11.0073020833333,10.59,11.37
2015-10-29,2015,Oct,2015-2016,1,,2,11.273,11.196875,11.1520364583333,10.785,11.297
2015-10-30,2015,Oct,2015-2016,1,,2,11.273,11.346,11.3513611111111,11.175,11.467
2015-10-31,2015,Oct,2015-2016,1,,2,11.565,11.467,11.4382291666667,11.102,11.565
2015-11-01,2015,Nov,2015-2016,1,,2,11.443,11.470125,11.46384375,11.224,11.565
2015-11-02,2015,Nov,2015-2016,1,,2,11.273,11.492,11.4545520833333,11.224,11.565
2015-11-03,2015,Nov,2015-2016,1,,2,10.785,11.263625,11.2056875,10.785,11.467
2015-11-04,2015,Nov,2015-2016,1,,2,11.224,11.224,11.1691267361111,10.687,11.394
2015-11-05,2015,Nov,2015-2016,1,,2,10.956,11.028875,11.0760416666667,10.956,11.273
2015-11-06,2015,Nov,2015-2016,1,,2,11.078,10.935,10.8977951388889,10.467,11.127
2015-11-07,2015,Nov,2015-2016,1,,2,11.127,11.078,11.076859375,10.834,11.224
2015-11-08,2015,Nov,2015-2016,1,,2,10.858,11.151,11.035015625,10.712,11.248
2015-11-09,2015,Nov,2015-2016,1,,2,10.492,10.396875,10.4270520833333,9.854,11.029
2015-11-10,2015,Nov,2015-2016,1,,2,10.638,10.191375,10.0414618055556,9.064,10.907
2015-11-11,2015,Nov,2015-2016,1,,2,9.903,10.599,10.4961371527778,9.879,10.712
2015-11-12,2015,Nov,2015-2016,1,,2,10.834,10.056625,10.1939809027778,9.46,10.883
2015-11-13,2015,Nov,2015-2016,1,,2,10.858,10.834,10.8164236111111,10.565,10.907
2015-11-14,2015,Nov,2015-2016,1,,2,10.247,10.501,10.4983802083333,9.952,10.883
2015-11-15,2015,Nov,2015-2016,1,,2,9.435,10.3325,10.2392708333333,9.435,10.858
2015-11-16,2015,Nov,2015-2016,1,,2,10.026,9.41,9.37689756944445,8.668,10.124
2015-11-17,2015,Nov,2015-2016,1,,2,10.198,10.34775,10.2616597222222,9.089,10.565
2015-11-18,2015,Nov,2015-2016,1,,2,9.238,9.62925,9.76714583333333,8.841,10.492
2015-11-19,2015,Nov,2015-2016,1,,2,9.435,9.5215,9.567421875,8.941,10.124
2015-11-20,2015,Nov,2015-2016,1,,2,9.114,9.31775,9.31753645833333,8.965,9.657
2015-11-21,2015,Nov,2015-2016,1,,2,8.643,8.872375,8.92986631944444,8.27,9.706
2015-11-22,2015,Nov,2015-2016,1,,2,8.618,8.378625,8.51032118055555,8.07,9.41
2015-11-23,2015,Nov,2015-2016,1,,2,8.344,8.506,8.56356597222222,7.92,9.287
2015-11-24,2015,Nov,2015-2016,1,,2,9.509,8.881625,8.692546875,7.619,9.805
2015-11-25,2015,Nov,2015-2016,1,,2,9.262,9.22225,9.00949826388889,7.594,9.558
2015-11-26,2015,Nov,2015-2016,1,,2,9.089,8.86,8.88741145833333,7.72,9.534
2015-11-27,2015,Nov,2015-2016,1,,2,8.519,8.77925,8.81419791666667,7.594,9.386
2015-11-28,2015,Nov,2015-2016,1,,2,8.742,8.683125,8.64072395833333,7.544,9.336
2015-11-29,2015,Nov,2015-2016,1,,2,8.469,8.369,8.37271006944444,7.293,9.41
2015-11-30,2015,Nov,2015-2016,1,,2,8.12,8.160625,8.20087673611111,7.419,9.336
2015-12-01,2015,Dec,2015-2016,1,,2,8.22,8.195,8.18718055555556,8.07,8.319
2015-12-02,2015,Dec,2015-2016,1,,2,8.17,8.278875,8.39455208333333,8.045,8.841
2015-12-03,2015,Dec,2015-2016,1,,2,8.965,8.431375,8.59793923611111,8.22,8.99
2015-12-04,2015,Dec,2015-2016,1,,2,8.419,8.9285,8.92818402777778,8.419,9.361
2015-12-05,2015,Dec,2015-2016,1,,2,8.841,8.55275,8.63010763888889,8.27,9.213
2015-12-06,2015,Dec,2015-2016,1,,2,9.386,9.188,9.13980381944444,8.817,9.485
2015-12-07,2015,Dec,2015-2016,1,,2,9.336,9.29025,9.27890625,8.965,9.485
2015-12-08,2015,Dec,2015-2016,1,,2,9.386,9.312,9.24760069444445,8.693,9.509
2015-12-09,2015,Dec,2015-2016,1,,2,9.41,9.435,9.42340277777778,9.089,9.583
2015-12-10,2015,Dec,2015-2016,1,,2,9.114,9.283875,9.20095833333333,8.519,9.46
2015-12-11,2015,Dec,2015-2016,1,,2,8.965,8.63675,8.69527951388889,8.444,9.238
2015-12-12,2015,Dec,2015-2016,1,,2,8.444,8.680125,8.66785590277778,8.245,9.114
2015-12-13,2015,Dec,2015-2016,1,,2,8.817,8.723375,8.713046875,8.319,9.163
2015-12-14,2015,Dec,2015-2016,1,,2,8.145,8.195,8.20323611111111,6.965,8.916
2015-12-15,2015,Dec,2015-2016,1,,2,8.245,8.5125,8.46221527777778,7.87,9.238
2015-12-16,2015,Dec,2015-2016,1,,2,8.02,8.288625,8.46761284722222,7.041,9.238
2015-12-17,2015,Dec,2015-2016,1,,2,7.92,8.27925,8.290625,7.569,9.163
2015-12-18,2015,Dec,2015-2016,1,,2,7.645,8.3565,8.33013715277778,7.569,8.693
2015-12-19,2015,Dec,2015-2016,1,,2,7.77,7.58775,7.60685243055556,7.217,7.97
2015-12-20,2015,Dec,2015-2016,1,,2,8.866,8.210625,8.22214583333333,7.419,9.015
2015-12-21,2015,Dec,2015-2016,1,,2,8.965,8.674125,8.56211284722222,7.695,9.015
2015-12-22,2015,Dec,2015-2016,1,,2,8.494,8.288625,8.363234375,7.619,9.089
2015-12-23,2015,Dec,2015-2016,1,,2,8.494,8.2915,8.24656944444444,7.192,8.767
2015-12-24,2015,Dec,2015-2016,1,,2,7.795,7.676125,7.73770659722222,6.864,8.792
2015-12-25,2015,Dec,2015-2016,1,,2,7.393,7.343,7.43177430555556,6.23,8.394
2015-12-26,2015,Dec,2015-2016,1,,2,7.77,7.1035,7.09699131944445,6.306,8.295
2015-12-27,2015,Dec,2015-2016,1,,2,8.195,8.08875,8.07933854166667,7.544,8.444
2015-12-28,2015,Dec,2015-2016,1,,2,8.02,8.347125,8.30137326388889,7.67,8.494
2015-12-29,2015,Dec,2015-2016,1,,2,7.519,8.073125,8.07041840277778,6.813,8.469
2015-12-30,2015,Dec,2015-2016,1,,2,7.167,7.885625,7.93952083333333,7.167,8.519
