Date,Year,Month,WaterYear,TWtrTriquet_bay01_Q_level,TWtrTriquet_bay01_Q_flags,TWtrTriquet_bay01_UNESCO_Q_level,TWtrTriquet_bay01,TWtrTriquet_bay01_Med,TWtrTriquet_bay01_Avg,TWtrTriquet_bay01_Min,TWtrTriquet_bay01_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01,NS_Triquet_bay01
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-10-13,2016,Oct,2016-2017,1,"MV:22 of 24 missing:1 of 24 flagged",3,10.614,10.614,10.614,10.614,10.614
2016-10-14,2016,Oct,2016-2017,1,,2,10.638,10.614,10.6080972222222,10.541,10.638
2016-10-15,2016,Oct,2016-2017,1,,2,10.712,10.6905,10.6905104166667,10.59,10.785
2016-10-16,2016,Oct,2016-2017,1,,2,10.785,10.785,10.7733940972222,10.712,10.858
2016-10-17,2016,Oct,2016-2017,1,,2,10.858,10.858,10.8496371527778,10.785,10.907
2016-10-18,2016,Oct,2016-2017,1,,2,10.858,10.858,10.8508958333333,10.785,10.956
2016-10-19,2016,Oct,2016-2017,1,,2,10.541,10.638,10.6784392361111,10.541,10.883
2016-10-20,2016,Oct,2016-2017,1,,2,10.541,10.599,10.5899027777778,10.516,10.736
2016-10-21,2016,Oct,2016-2017,1,,2,10.516,10.516125,10.5105572916667,10.443,10.541
2016-10-22,2016,Oct,2016-2017,1,,2,10.443,10.467,10.4568559027778,10.394,10.516
2016-10-23,2016,Oct,2016-2017,1,,2,10.638,10.605,10.5609878472222,10.394,10.687
2016-10-24,2016,Oct,2016-2017,1,,2,10.369,10.553,10.5428420138889,10.369,10.638
2016-10-25,2016,Oct,2016-2017,1,,2,10.32,10.409,10.3954392361111,10.271,10.541
2016-10-26,2016,Oct,2016-2017,1,,2,10.394,10.3815,10.3700868055556,10.222,10.516
2016-10-27,2016,Oct,2016-2017,1,,2,10.369,10.394,10.3959184027778,10.345,10.418
2016-10-28,2016,Oct,2016-2017,1,,2,10.394,10.348,10.3491857638889,10.222,10.394
2016-10-29,2016,Oct,2016-2017,1,,2,10.32,10.345,10.3347673611111,10.198,10.394
2016-10-30,2016,Oct,2016-2017,1,,2,10.296,10.299,10.3075555555556,10.271,10.345
2016-10-31,2016,Oct,2016-2017,1,,2,10.296,10.271,10.2944791666667,10.198,10.369
2016-11-01,2016,Nov,2016-2017,1,,2,9.903,10.078125,10.112203125,9.879,10.32
2016-11-02,2016,Nov,2016-2017,1,,2,10.001,9.955125,9.88655902777778,9.485,10.001
2016-11-03,2016,Nov,2016-2017,1,,2,10.369,10.3205,10.2275069444444,10.001,10.394
2016-11-04,2016,Nov,2016-2017,1,,2,10.345,10.296,10.2808680555556,10.198,10.369
2016-11-05,2016,Nov,2016-2017,1,,2,10.32,10.345,10.3472100694444,10.296,10.369
2016-11-06,2016,Nov,2016-2017,1,,2,10.271,10.3325,10.338703125,10.247,10.418
2016-11-07,2016,Nov,2016-2017,1,,2,10.614,10.4185,10.4157378472222,10.198,10.614
2016-11-08,2016,Nov,2016-2017,1,,2,10.614,10.675,10.6697083333333,10.614,10.712
2016-11-09,2016,Nov,2016-2017,1,,2,10.369,10.476375,10.4904809027778,10.369,10.614
2016-11-10,2016,Nov,2016-2017,1,,2,10.149,10.182375,10.1931875,10.1,10.369
2016-11-11,2016,Nov,2016-2017,1,,2,10.271,10.271,10.26334375,10.149,10.369
2016-11-12,2016,Nov,2016-2017,1,,2,10.198,10.27725,10.2783142361111,10.198,10.32
2016-11-13,2016,Nov,2016-2017,1,,2,10.785,10.717625,10.5421545138889,10.149,10.883
2016-11-14,2016,Nov,2016-2017,1,,2,10.369,10.541,10.5467430555556,10.247,10.81
2016-11-15,2016,Nov,2016-2017,1,,2,10.173,10.33575,10.3111944444444,9.952,10.443
2016-11-16,2016,Nov,2016-2017,1,,2,10.026,10.112,10.071609375,9.805,10.198
2016-11-17,2016,Nov,2016-2017,1,,2,10.026,10.075,10.0884097222222,9.879,10.271
2016-11-18,2016,Nov,2016-2017,1,,2,9.361,9.832375,9.75162673611111,9.312,10.051
2016-11-19,2016,Nov,2016-2017,1,,2,9.731,9.882,9.82473263888889,9.361,9.977
2016-11-20,2016,Nov,2016-2017,1,,2,9.509,9.721625,9.70336458333333,9.509,9.854
2016-11-21,2016,Nov,2016-2017,1,,2,8.941,9.534,9.46685416666667,8.941,9.583
