Date,Year,Month,WaterYear,TWtrTriquet_kelpQ_level,TWtrTriquet_kelpQ_flags,TWtrTriquet_kelpUNESCO_Q_level,TWtrTriquet_kelp,TWtrTriquet_kelpMed,TWtrTriquet_kelpAvg,TWtrTriquet_kelpMin,TWtrTriquet_kelpMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_kelp,NS_Triquet_kelp,NS_Triquet_kelp,NS_Triquet_kelp,NS_Triquet_kelp,NS_Triquet_kelp,NS_Triquet_kelp,NS_Triquet_kelp
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-09-14,2015,Sep,2014-2015,1,"AR:MV:24 of 24 missing:2 of 24 flagged",9,,,,,
2015-09-15,2015,Sep,2014-2015,1,"AR:MV:7 of 24 missing:8 of 24 flagged",4,17.011,17.15925,16.7263480392157,15.175,18.485
2015-09-16,2015,Sep,2014-2015,1,"AR:MV:6 of 24 missing:7 of 24 flagged",4,,15.8345,15.8674826388889,11.807,19.579
2015-09-17,2015,Sep,2014-2015,1,"AR:MV:9 of 24 missing:13 of 24 flagged",4,12.992,13.04,14.0200031746032,12.896,19.579
2015-09-18,2015,Sep,2014-2015,1,,2,12.92,12.929,12.9356041666667,12.871,13.016
2015-09-19,2015,Sep,2014-2015,1,,2,12.606,12.642,12.6885729166667,12.582,12.92
2015-09-20,2015,Sep,2014-2015,1,,2,12.847,12.66925,12.7273802083333,12.558,13.088
2015-09-21,2015,Sep,2014-2015,1,,2,12.871,12.929,12.8955763888889,12.606,13.064
2015-09-22,2015,Sep,2014-2015,1,,2,12.678,12.703,12.7314739583333,12.678,12.92
2015-09-23,2015,Sep,2014-2015,1,,2,11.807,12.434,12.3812829861111,11.807,12.678
2015-09-24,2015,Sep,2014-2015,1,,2,11.977,12.107,12.0978645833333,11.807,12.268
2015-09-25,2015,Sep,2014-2015,1,,2,12.171,12.074,12.0737395833333,11.977,12.195
2015-09-26,2015,Sep,2014-2015,1,,2,11.953,12.053,12.0303784722222,11.759,12.219
2015-09-27,2015,Sep,2014-2015,1,,2,11.759,12.074,12.0695243055556,11.759,12.268
2015-09-28,2015,Sep,2014-2015,1,,2,11.904,12.013,12.0325052083333,11.759,12.485
2015-09-29,2015,Sep,2014-2015,1,,2,12.34,11.953,12.0042569444444,11.88,12.34
2015-09-30,2015,Sep,2014-2015,1,,2,12.219,12.219,12.2226128472222,12.05,12.316
2015-10-01,2015,Oct,2015-2016,1,,2,12.243,12.122,12.1609236111111,12.001,12.389
2015-10-02,2015,Oct,2015-2016,1,,2,12.098,12.086,12.0680642361111,11.832,12.231
2015-10-03,2015,Oct,2015-2016,1,,2,12.292,12.071,12.0716979166667,11.807,12.316
2015-10-04,2015,Oct,2015-2016,1,,2,11.734,11.76175,11.7506076388889,11.321,12.292
2015-10-05,2015,Oct,2015-2016,1,,2,11.734,11.822625,11.7921805555556,11.516,11.929
2015-10-06,2015,Oct,2015-2016,1,,2,11.467,11.686,11.6497204861111,11.37,11.783
2015-10-07,2015,Oct,2015-2016,1,,2,11.492,11.613,11.5782829861111,11.394,11.71
2015-10-08,2015,Oct,2015-2016,1,,2,11.662,11.637,11.6097673611111,11.467,11.662
2015-10-09,2015,Oct,2015-2016,1,,2,11.929,11.9165,11.8991961805556,11.662,12.098
2015-10-10,2015,Oct,2015-2016,1,,2,11.832,11.868,11.8736892361111,11.759,12.025
2015-10-11,2015,Oct,2015-2016,1,,2,11.637,11.686,11.7054496527778,11.637,11.8195
2015-10-12,2015,Oct,2015-2016,1,,2,11.662,11.662,11.6536857638889,11.565,11.759
2015-10-13,2015,Oct,2015-2016,1,,2,11.565,11.625,11.6303697916667,11.54,11.759
2015-10-14,2015,Oct,2015-2016,1,,2,11.637,11.534,11.5410486111111,11.443,11.662
2015-10-15,2015,Oct,2015-2016,1,,2,11.492,11.492,11.4679045138889,11.151,11.637
2015-10-16,2015,Oct,2015-2016,1,,2,11.102,11.145,11.1519895833333,10.858,11.4795
2015-10-17,2015,Oct,2015-2016,1,,2,11.37,11.2115,11.2425,11.102,11.419
2015-10-18,2015,Oct,2015-2016,1,,2,11.346,11.321,11.3208125,11.273,11.358
2015-10-19,2015,Oct,2015-2016,1,,2,11.686,11.446,11.5141805555556,11.297,12.122
2015-10-20,2015,Oct,2015-2016,1,,2,11.492,11.47325,11.5225520833333,11.37,11.71
2015-10-21,2015,Oct,2015-2016,1,,2,12.219,12.116,12.1070711805556,11.492,12.34
2015-10-22,2015,Oct,2015-2016,1,,2,12.34,12.343,12.3464704861111,12.147,12.509
2015-10-23,2015,Oct,2015-2016,1,,2,12.509,12.28,12.2835260416667,12.122,12.534
2015-10-24,2015,Oct,2015-2016,1,,2,12.268,12.31,12.2461059027778,11.807,12.509
2015-10-25,2015,Oct,2015-2016,1,,2,11.248,11.764875,11.7667361111111,11.248,12.2435
2015-10-26,2015,Oct,2015-2016,1,,2,11.224,11.163,11.1522638888889,10.932,11.419
2015-10-27,2015,Oct,2015-2016,1,,2,11.637,11.303,11.3668177083333,10.907,12.001
2015-10-28,2015,Oct,2015-2016,1,,2,11.759,11.394125,11.4412118055556,11.224,11.783
2015-10-29,2015,Oct,2015-2016,1,,2,11.856,11.759,11.7744357638889,11.613,11.977
2015-10-30,2015,Oct,2015-2016,1,,2,11.662,11.759,11.7524826388889,11.637,11.904
2015-10-31,2015,Oct,2015-2016,1,,2,11.953,11.856,11.854765625,11.662,12.171
2015-11-01,2015,Nov,2015-2016,1,,2,11.734,11.953,11.956984375,11.734,12.074
2015-11-02,2015,Nov,2015-2016,1,,2,11.37,11.613,11.6120069444444,11.37,11.759
2015-11-03,2015,Nov,2015-2016,1,,2,10.883,11.333375,11.2715190972222,10.785,11.613
2015-11-04,2015,Nov,2015-2016,1,,2,11.102,11.078,11.0877100694444,10.834,11.297
2015-11-05,2015,Nov,2015-2016,1,,2,11.102,11.151,11.1441597222222,10.956,11.346
2015-11-06,2015,Nov,2015-2016,1,,2,10.858,10.858,10.8694027777778,10.785,11.102
2015-11-07,2015,Nov,2015-2016,1,,2,11.078,11.02,11.0416180555556,10.907,11.175
2015-11-08,2015,Nov,2015-2016,1,,2,10.883,10.834,10.8631788194444,10.712,11.078
2015-11-09,2015,Nov,2015-2016,1,,2,10.222,10.366,10.3956267361111,10.051,10.932
2015-11-10,2015,Nov,2015-2016,1,,2,10.59,10.1,10.1191597222222,9.657,10.59
2015-11-11,2015,Nov,2015-2016,1,,2,10.541,10.626,10.5916892361111,10.1,10.956
2015-11-12,2015,Nov,2015-2016,1,,2,10.956,10.4915,10.5339322916667,10.345,10.956
2015-11-13,2015,Nov,2015-2016,1,,2,10.565,10.70575,10.7178246527778,10.492,11.005
2015-11-14,2015,Nov,2015-2016,1,,2,10.271,10.384625,10.4185659722222,10.271,10.638
2015-11-15,2015,Nov,2015-2016,1,,2,10.051,10.201,10.1943680555556,10.001,10.394
2015-11-16,2015,Nov,2015-2016,1,,2,10.075,10.109,10.1417152777778,9.977,10.345
2015-11-17,2015,Nov,2015-2016,1,,2,9.78,10.247,10.1665538194444,9.756,10.369
2015-11-18,2015,Nov,2015-2016,1,,2,9.682,9.854,9.88543402777778,9.657,10.149
2015-11-19,2015,Nov,2015-2016,1,,2,9.731,9.6445,9.61534548611111,9.312,9.805
2015-11-20,2015,Nov,2015-2016,1,,2,9.04,9.123375,9.13974826388889,8.891,9.731
2015-11-21,2015,Nov,2015-2016,1,,2,8.767,8.866,8.90403645833333,8.717,9.188
2015-11-22,2015,Nov,2015-2016,1,,2,9.386,8.944,8.99885590277778,8.742,9.386
2015-11-23,2015,Nov,2015-2016,1,,2,10.492,8.763875,8.86517013888889,8.27,10.492
2015-11-24,2015,Nov,2015-2016,1,,2,8.27,9.052125,8.96678819444444,7.92,10.4795
2015-11-25,2015,Nov,2015-2016,1,,2,8.817,8.95,8.91712673611111,8.22,9.731
2015-11-26,2015,Nov,2015-2016,1,,2,9.312,8.949875,8.888828125,8.444,9.312
2015-11-27,2015,Nov,2015-2016,1,,2,8.618,8.8785,8.95156597222222,8.618,9.312
2015-11-28,2015,Nov,2015-2016,1,,2,8.568,8.671125,8.78652430555555,8.519,9.213
2015-11-29,2015,Nov,2015-2016,1,,2,8.817,8.85975,8.90241493055556,8.494,9.287
2015-11-30,2015,Nov,2015-2016,1,,2,8.717,8.705,8.66741666666667,8.494,8.817
2015-12-01,2015,Dec,2015-2016,1,,2,9.361,9.4225,9.34159027777778,8.717,9.879
2015-12-02,2015,Dec,2015-2016,1,,2,9.139,9.25,9.25019791666666,9.139,9.386
2015-12-03,2015,Dec,2015-2016,1,,2,9.064,9.114,9.10822743055556,9.064,9.139
2015-12-04,2015,Dec,2015-2016,1,,2,8.965,8.99,9.00890798611111,8.965,9.064
2015-12-05,2015,Dec,2015-2016,1,,2,9.064,8.941,8.94053645833334,8.891,9.064
2015-12-06,2015,Dec,2015-2016,1,,2,9.287,9.203625,9.17635590277778,9.04,9.287
2015-12-07,2015,Dec,2015-2016,1,,2,9.089,9.312,9.27015625,9.089,9.361
2015-12-08,2015,Dec,2015-2016,1,,2,9.114,9.064,9.06699826388889,9.015,9.114
2015-12-09,2015,Dec,2015-2016,1,,2,9.139,9.114,9.10724131944444,9.064,9.163
2015-12-10,2015,Dec,2015-2016,1,,2,8.841,8.826,8.85380902777778,8.668,9.139
2015-12-11,2015,Dec,2015-2016,1,,2,8.668,8.693,8.70436284722222,8.593,8.866
2015-12-12,2015,Dec,2015-2016,1,,2,8.593,8.618,8.59910243055556,8.394,8.742
2015-12-13,2015,Dec,2015-2016,1,,2,9.114,8.245,8.365234375,8.045,9.114
2015-12-14,2015,Dec,2015-2016,1,,2,8.593,9.361,9.21228645833333,8.519,9.657
2015-12-15,2015,Dec,2015-2016,1,,2,8.618,8.618,8.64703993055556,8.519,8.841
2015-12-16,2015,Dec,2015-2016,1,,2,8.419,8.5525,8.54462326388889,8.394,8.792
2015-12-17,2015,Dec,2015-2016,1,,2,8.369,8.419,8.42030208333333,8.369,8.469
2015-12-18,2015,Dec,2015-2016,1,,2,8.419,8.419,8.42959375,8.319,8.543
2015-12-19,2015,Dec,2015-2016,1,,2,8.469,8.478375,8.50076041666667,8.419,8.717
2015-12-20,2015,Dec,2015-2016,1,,2,8.767,8.531,8.54671875,8.369,8.767
2015-12-21,2015,Dec,2015-2016,1,,2,8.519,8.742,8.71422222222222,8.519,8.817
2015-12-22,2015,Dec,2015-2016,1,,2,8.394,8.639875,8.62228645833333,8.394,8.767
2015-12-23,2015,Dec,2015-2016,1,,2,8.593,8.674125,8.65550868055555,8.394,8.866
2015-12-24,2015,Dec,2015-2016,1,,2,8.145,8.22,8.19595138888889,7.945,8.5805
2015-12-25,2015,Dec,2015-2016,1,,2,7.569,7.9075,7.87604861111111,7.544,8.17
2015-12-26,2015,Dec,2015-2016,1,,2,8.344,7.9575,8.01261979166667,7.544,8.742
2015-12-27,2015,Dec,2015-2016,1,,2,8.344,8.297625,8.28391666666666,8.145,8.394
2015-12-28,2015,Dec,2015-2016,1,,2,8.195,8.36275,8.343765625,8.17,8.494
2015-12-29,2015,Dec,2015-2016,1,,2,7.82,7.904375,7.96891493055556,7.77,8.195
2015-12-30,2015,Dec,2015-2016,1,,2,7.569,7.7325,7.71308159722222,7.569,7.82
2015-12-31,2015,Dec,2015-2016,1,,2,7.393,7.4815,7.47452083333333,7.343,7.569
2016-01-01,2016,Jan,2015-2016,1,,2,7.217,7.318,7.31538888888889,7.217,7.393
2016-01-02,2016,Jan,2015-2016,1,,2,7.091,7.17325,7.19185763888889,7.091,7.293
2016-01-03,2016,Jan,2015-2016,1,,2,7.091,7.142,7.14786805555556,7.091,7.217
2016-01-04,2016,Jan,2015-2016,1,,2,6.965,6.965,6.98387847222222,6.889,7.091
2016-01-05,2016,Jan,2015-2016,1,,2,6.788,6.879625,6.87647395833334,6.788,6.965
2016-01-06,2016,Jan,2015-2016,1,,2,6.94,6.75975,6.77415277777778,6.636,6.99
2016-01-07,2016,Jan,2015-2016,1,,2,6.914,6.927,6.90136458333333,6.712,7.015
2016-01-08,2016,Jan,2015-2016,1,,2,6.864,6.864,6.84676041666667,6.737,6.914
2016-01-09,2016,Jan,2015-2016,1,,2,6.94,6.889,6.89597916666666,6.813,6.965
2016-01-10,2016,Jan,2015-2016,1,,2,6.864,6.94,6.93794444444445,6.839,7.015
2016-01-11,2016,Jan,2015-2016,1,,2,7.393,6.974625,7.03471354166667,6.813,7.393
2016-01-12,2016,Jan,2015-2016,1,,2,7.645,7.632,7.59504166666666,7.393,7.77
2016-01-13,2016,Jan,2015-2016,1,,2,7.87,7.7575,7.73101215277778,7.619,7.895
2016-01-14,2016,Jan,2015-2016,1,,2,7.72,7.845,7.84769097222222,7.72,7.97
2016-01-15,2016,Jan,2015-2016,1,,2,7.444,7.519,7.55175,7.419,7.82
2016-01-16,2016,Jan,2015-2016,1,,2,7.945,7.754375,7.75484548611111,7.444,7.945
2016-01-17,2016,Jan,2015-2016,1,,2,8.07,8.066875,8.05589409722222,7.92,8.12
2016-01-18,2016,Jan,2015-2016,1,,2,8.195,8.060625,8.09183159722222,7.995,8.22
2016-01-19,2016,Jan,2015-2016,1,,2,8.045,8.104375,8.10046875,8.02,8.195
2016-01-20,2016,Jan,2015-2016,1,,2,8.07,7.945,7.95745659722222,7.895,8.07
