Date,Year,Month,WaterYear,TWtrTriquet_north_sgrassQ_level,TWtrTriquet_north_sgrassQ_flags,TWtrTriquet_north_sgrassUNESCO_Q_level,TWtrTriquet_north_sgrass,TWtrTriquet_north_sgrassMed,TWtrTriquet_north_sgrassAvg,TWtrTriquet_north_sgrassMin,TWtrTriquet_north_sgrassMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass,NS_Triquet_north_sgrass
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2016-10-13,2016,Oct,2016-2017,1,"MV:22 of 24 missing:1 of 24 flagged",3,10.651,10.6995,10.7096041666667,10.651,10.748
2016-10-14,2016,Oct,2016-2017,1,,2,10.944,10.748,10.7525121527778,10.651,11.041
2016-10-15,2016,Oct,2016-2017,1,,2,10.846,10.895,10.9112465277778,10.748,11.334
2016-10-16,2016,Oct,2016-2017,1,,2,11.041,10.980375,10.9961822916667,10.748,11.334
2016-10-17,2016,Oct,2016-2017,1,,2,11.041,11.041,11.0263611111111,10.846,11.139
2016-10-18,2016,Oct,2016-2017,1,,2,11.041,11.041,10.9985138888889,10.846,11.139
2016-10-19,2016,Oct,2016-2017,1,,2,10.748,10.944,10.910328125,10.748,11.041
2016-10-20,2016,Oct,2016-2017,1,,2,10.651,10.748,10.7226545138889,10.651,10.846
2016-10-21,2016,Oct,2016-2017,1,,2,10.748,10.651,10.6771024305556,10.651,10.748
2016-10-22,2016,Oct,2016-2017,1,,2,10.651,10.651,10.6449184027778,10.553,10.748
2016-10-23,2016,Oct,2016-2017,1,,2,10.846,10.748,10.7689739583333,10.651,10.846
2016-10-24,2016,Oct,2016-2017,1,,2,10.651,10.797,10.7636232638889,10.553,10.846
2016-10-25,2016,Oct,2016-2017,1,,2,10.553,10.651,10.6332048611111,10.455,10.748
2016-10-26,2016,Oct,2016-2017,1,,2,10.455,10.455,10.4476840277778,10.357,10.553
2016-10-27,2016,Oct,2016-2017,1,,2,10.455,10.553,10.5277986111111,10.455,10.748
2016-10-28,2016,Oct,2016-2017,1,,2,10.455,10.455,10.4890277777778,10.357,10.553
2016-10-29,2016,Oct,2016-2017,1,,2,10.357,10.455,10.4163784722222,10.357,10.455
2016-10-30,2016,Oct,2016-2017,1,,2,10.357,10.357,10.3195694444444,10.161,10.455
2016-10-31,2016,Oct,2016-2017,1,,2,10.357,10.357,10.3604027777778,10.259,10.455
2016-11-01,2016,Nov,2016-2017,1,,2,10.161,10.259,10.2688680555556,10.161,10.357
2016-11-02,2016,Nov,2016-2017,1,,2,10.161,10.161,10.1174444444444,10.063,10.161
2016-11-03,2016,Nov,2016-2017,1,,2,10.455,10.259,10.2952395833333,10.161,10.455
2016-11-04,2016,Nov,2016-2017,1,,2,10.455,10.455,10.4141666666667,10.357,10.455
2016-11-05,2016,Nov,2016-2017,1,,2,10.553,10.455,10.4827256944444,10.357,10.748
2016-11-06,2016,Nov,2016-2017,1,,2,10.357,10.455,10.4587013888889,10.357,10.748
2016-11-07,2016,Nov,2016-2017,1,,2,10.651,10.455,10.4857951388889,10.357,10.651
2016-11-08,2016,Nov,2016-2017,1,,2,10.846,10.748,10.7866753472222,10.651,10.944
2016-11-09,2016,Nov,2016-2017,1,,2,10.553,10.748,10.7256961805556,10.553,10.846
2016-11-10,2016,Nov,2016-2017,1,,2,10.651,10.455,10.4527881944444,10.259,10.651
2016-11-11,2016,Nov,2016-2017,1,,2,10.455,10.455,10.4880069444444,10.357,10.651
2016-11-12,2016,Nov,2016-2017,1,,2,10.357,10.455,10.4667395833333,10.357,10.553
2016-11-13,2016,Nov,2016-2017,1,,2,10.846,10.6995,10.6367065972222,10.357,10.846
2016-11-14,2016,Nov,2016-2017,1,,2,10.846,10.797,10.7599097222222,10.553,10.944
2016-11-15,2016,Nov,2016-2017,1,,2,10.944,10.651,10.6565868055556,10.455,10.944
2016-11-16,2016,Nov,2016-2017,1,,2,10.651,10.406,10.4737378472222,10.259,10.944
2016-11-17,2016,Nov,2016-2017,1,,2,10.357,10.357,10.3541076388889,10.259,10.651
2016-11-18,2016,Nov,2016-2017,1,,2,10.357,10.161,10.1902638888889,9.965,10.455
2016-11-19,2016,Nov,2016-2017,1,,2,10.161,10.1855,10.2109027777778,9.768,10.651
2016-11-20,2016,Nov,2016-2017,1,,2,9.768,9.965,9.94408506944445,9.669,10.259
2016-11-21,2016,Nov,2016-2017,1,,2,9.472,9.472,9.52526388888889,9.373,9.866
2016-11-22,2016,Nov,2016-2017,1,,2,9.669,9.768,9.69690798611111,9.472,9.866
2016-11-23,2016,Nov,2016-2017,1,,2,9.571,9.571,9.60658680555555,9.472,9.965
2016-11-24,2016,Nov,2016-2017,1,,2,9.669,9.768,9.82211458333333,9.571,10.455
2016-11-25,2016,Nov,2016-2017,1,,2,9.866,10.1365,9.999859375,9.373,10.553
2016-11-26,2016,Nov,2016-2017,1,,2,9.866,9.841625,9.81820138888889,9.373,10.161
2016-11-27,2016,Nov,2016-2017,1,,2,9.571,9.49675,9.56838715277778,9.176,10.063
