"site","Depth_m"
"goose_south_west","1.5"
"goose_south_west","2.7"
"goose_south_west","3.9"
"goose_south_west","1.5"
"goose_south_west","3.6"
"goose_south_west","2"
"mcmullins_north","-0.2"
"mcmullins_north","0"
"mcmullins_north","0.6"
"mcmullins_north","1"
"mcmullins_north","1"
"mcmullins_north","0.5"
"triquet_south","3.6"
"triquet_south","2.4"
"triquet_south","2.4"
"triquet_south","0.3"
"triquet_south","0.7"
"triquet_south","-0.4"
"choked_inner","-5"
"goose_south_east","-2.5"
"goose_south_west","-3"
"mcmullins_north","-5"
"mcmullins_south","-4.5"
"triquet_north","-5"
"choked_inner","5"
"triquet_south","5"
"triquet_north","5"
"goose_south_west","5"
"goose_south_east","5"
"mcmullins_south","5"
"mcmullins_north","5"
